segment,from,to,speaker,text
1,0:00:00,0:00:02,蔡玉玲,謝謝大家
2,0:00:02,0:00:04,蔡玉玲,謝謝大家
3,0:00:04,0:00:06,蔡玉玲,謝謝大家
4,0:00:06,0:00:08,蔡玉玲,謝謝大家
5,0:00:08,0:00:10,蔡玉玲,謝謝大家
6,0:00:10,0:00:12,蔡玉玲,謝謝大家
7,0:00:12,0:00:14,蔡玉玲,在選舉這段時間
8,0:00:14,0:00:16,蔡玉玲,候選人的
9,0:00:16,0:00:18,蔡玉玲,行程都非常非常的緊
10,0:00:18,0:00:20,蔡玉玲,那我們要跟各位報告
11,0:00:20,0:00:22,蔡玉玲,其實這個行程
12,0:00:22,0:00:24,蔡玉玲,都是
13,0:00:24,0:00:26,蔡玉玲,參選人直接
14,0:00:26,0:00:28,蔡玉玲,要求他的幕僚
15,0:00:28,0:00:30,蔡玉玲,去變更他的行程
16,0:00:30,0:00:32,蔡玉玲,來參加我們今天的論壇
17,0:00:32,0:00:34,蔡玉玲,所以我們是不是先鼓掌
18,0:00:34,0:00:36,蔡玉玲,（鼓掌）
19,0:00:36,0:00:44,蔡玉玲,根據聯合國婦女署
20,0:00:44,0:00:46,蔡玉玲,UN Women在2023年
21,0:00:46,0:00:48,蔡玉玲,1月的數據發布
22,0:00:48,0:00:50,蔡玉玲,Women Equality
23,0:00:50,0:00:52,蔡玉玲,資料女性在全球國家中
24,0:00:52,0:00:54,蔡玉玲,擔任國家元首
25,0:00:54,0:00:56,蔡玉玲,有11.7%
26,0:00:56,0:00:58,蔡玉玲,擔任部長級的
27,0:00:58,0:01:00,蔡玉玲,職務有22.8%
28,0:01:00,0:01:02,蔡玉玲,目前歐洲
29,0:01:02,0:01:04,蔡玉玲,佔比最多
30,0:01:04,0:01:06,蔡玉玲,達到50%
31,0:01:06,0:01:08,蔡玉玲,北美是31.6%
32,0:01:08,0:01:10,蔡玉玲,亞洲相對就少
33,0:01:10,0:01:12,蔡玉玲,非常的多
34,0:01:12,0:01:14,蔡玉玲,中亞南亞10%
35,0:01:14,0:01:16,蔡玉玲,太平洋區8.1%
36,0:01:16,0:01:18,蔡玉玲,我們在亞洲看起來
37,0:01:18,0:01:20,蔡玉玲,我們還有很長的
38,0:01:20,0:01:22,蔡玉玲,路要走
39,0:01:22,0:01:24,蔡玉玲,我們余董事協會
40,0:01:24,0:01:26,蔡玉玲,已經發布四本白皮書
41,0:01:26,0:01:28,蔡玉玲,在我們的女性治理
42,0:01:28,0:01:30,蔡玉玲,白皮書的調查裡面
43,0:01:30,0:01:32,蔡玉玲,2023年的報告也看到
44,0:01:32,0:01:34,蔡玉玲,後疫情時代
45,0:01:34,0:01:36,蔡玉玲,有女性治理的上市公司
46,0:01:36,0:01:38,蔡玉玲,EPS的成長比例
47,0:01:38,0:01:40,蔡玉玲,是達到50%
48,0:01:40,0:01:42,蔡玉玲,所以是比全體上市公司
49,0:01:42,0:01:44,蔡玉玲,的表現要好
50,0:01:44,0:01:46,蔡玉玲,所以客觀數據
51,0:01:46,0:01:48,蔡玉玲,證明女性治理
52,0:01:48,0:01:50,蔡玉玲,是有優勢的
53,0:01:50,0:01:52,蔡玉玲,那這個
54,0:01:52,0:01:54,蔡玉玲,此時此刻
55,0:01:54,0:01:56,蔡玉玲,地緣政治越來越
56,0:01:56,0:01:58,蔡玉玲,不明確
57,0:01:58,0:02:00,蔡玉玲,各國的貨幣
58,0:02:00,0:02:02,蔡玉玲,政策也是搖擺不定
59,0:02:02,0:02:04,蔡玉玲,決策複雜度
60,0:02:04,0:02:06,蔡玉玲,大增
61,0:02:06,0:02:08,蔡玉玲,所以在這種動盪跟不確定的年代
62,0:02:08,0:02:10,蔡玉玲,具備同理心
63,0:02:10,0:02:12,蔡玉玲,跟善於
64,0:02:12,0:02:14,蔡玉玲,傾聽以及懂得
65,0:02:14,0:02:16,蔡玉玲,協調跟溝通
66,0:02:16,0:02:18,蔡玉玲,包容多元意見的
67,0:02:18,0:02:20,蔡玉玲,女性領導人
68,0:02:20,0:02:22,蔡玉玲,更能發揮所長
69,0:02:22,0:02:24,蔡玉玲,我們也期待
70,0:02:24,0:02:26,蔡玉玲,有更多優秀的年輕女性
71,0:02:26,0:02:28,蔡玉玲,擔任更多的領導
72,0:02:28,0:02:30,蔡玉玲,級職務
73,0:02:30,0:02:32,蔡玉玲,這是第一次三位主要
74,0:02:32,0:02:34,蔡玉玲,政黨總統
75,0:02:34,0:02:36,蔡玉玲,參選人同時蒞臨本會
76,0:02:36,0:02:38,蔡玉玲,這是前所未有的
77,0:02:38,0:02:40,蔡玉玲,難得的機會
78,0:02:40,0:02:42,蔡玉玲,我們很好奇
79,0:02:42,0:02:44,蔡玉玲,我們也很關心
80,0:02:44,0:02:46,蔡玉玲,三個主要政黨的
81,0:02:46,0:02:48,蔡玉玲,女性治理政策到底
82,0:02:48,0:02:50,蔡玉玲,是什麼
83,0:02:50,0:02:52,蔡玉玲,我們也要很公平
84,0:02:52,0:02:54,蔡玉玲,事前都已經先給
85,0:02:54,0:02:56,蔡玉玲,三位參選人
86,0:02:56,0:02:58,蔡玉玲,相同的題目
87,0:02:58,0:03:00,蔡玉玲,題目就兩題
88,0:03:00,0:03:02,蔡玉玲,第一個題目是
89,0:03:02,0:03:04,蔡玉玲,如果您當選總統
90,0:03:04,0:03:06,蔡玉玲,您的內閣跟
91,0:03:06,0:03:08,蔡玉玲,簡薦任期的高階文官
92,0:03:08,0:03:10,蔡玉玲,女性比例會是如何規劃
93,0:03:10,0:03:16,蔡玉玲,關於這一點 侯市長
94,0:03:16,0:03:18,蔡玉玲,我們小內閣的女性比例
95,0:03:18,0:03:20,蔡玉玲,都超過三分之一
96,0:03:20,0:03:22,蔡玉玲,我們數字
97,0:03:22,0:03:24,蔡玉玲,講一下
98,0:03:24,0:03:28,蔡玉玲,對您當選總統應該會繼續
99,0:03:28,0:03:32,蔡玉玲,第二個問題是
