segment,from,to,speaker,text
2,0:00:13,0:00:16,主持人,好 非常謝謝各位媒體朋友
3,0:00:16,0:00:19,主持人,今天來參加我們教育政策的發表會
4,0:00:19,0:00:21,主持人,首先呢 我們先來介紹今天與會的貴賓
5,0:00:21,0:00:23,主持人,當然是大家非常熟悉的
6,0:00:23,0:00:25,主持人,我們中國國民黨的總統候選人
7,0:00:25,0:00:26,主持人,新北市長侯友宜
8,0:00:26,0:00:28,主持人,侯市長
9,0:00:28,0:00:32,主持人,接下來呢 是我們的前國教署的署長
10,0:00:32,0:00:34,主持人,也是目前為止是我們台北市立教
11,0:00:34,0:00:37,主持人,台北市立大學的榮譽教授吳清山
12,0:00:37,0:00:38,主持人,吳教授
13,0:00:38,0:00:39,吳清山,你好
14,0:00:39,0:00:40,主持人,非常謝謝
15,0:00:40,0:00:41,主持人,那我想大家都知道
16,0:00:41,0:00:43,主持人,教育可以說是我們立過的根本
17,0:00:43,0:00:45,主持人,是所有的政策當中
18,0:00:45,0:00:47,主持人,對我們來說的話是非常重要的
19,0:00:47,0:00:49,主持人,但是呢 我們看看現在
20,0:00:49,0:00:51,主持人,我們所有的部分
21,0:00:51,0:00:53,主持人,包括從幼兒教育到108課綱
22,0:00:53,0:00:55,主持人,到我們的技職教育
23,0:00:55,0:00:56,主持人,到我們高等教育的人才培育
24,0:00:56,0:00:58,主持人,到甚至到我們的終身教育
25,0:00:58,0:01:02,主持人,事實上還有非常多需要改進的地方
26,0:01:02,0:01:03,主持人,那我們來看看我們現在所面臨的
27,0:01:03,0:01:04,主持人,哪一些的問題呢
28,0:01:04,0:01:05,主持人,你可以看到
29,0:01:05,0:01:08,主持人,我們現在教育經費可以說創新低
30,0:01:08,0:01:10,主持人,那在2020年的時候呢
31,0:01:10,0:01:11,主持人,我們的GDP
32,0:01:11,0:01:14,主持人,我們過去我們台灣的經濟成長是不錯的
33,0:01:14,0:01:15,主持人,但是呢 我們教育經費呢
34,0:01:15,0:01:17,主持人,佔了4.33
35,0:01:17,0:01:19,主持人,但是我們來看看呢
36,0:01:19,0:01:20,主持人,公部門的教育經費呢
37,0:01:20,0:01:23,主持人,目前為止大概只佔GDP的3.4%
38,0:01:23,0:01:25,主持人,可以說是目前40年來裡面最低
39,0:01:25,0:01:27,主持人,當我們說教育非常重要的時候
40,0:01:27,0:01:30,主持人,我們的GDP其實創下最低的紀錄
41,0:01:30,0:01:32,主持人,那當然5歲幼兒的教育呢
42,0:01:32,0:01:33,主持人,有待提升
43,0:01:33,0:01:37,主持人,目前5歲入園的比例已經高達98%
44,0:01:37,0:01:39,主持人,但是在少子化的衝擊之下面
45,0:01:39,0:01:41,主持人,我們都非常希望能夠給予
46,0:01:41,0:01:42,主持人,更精緻的一個教育
47,0:01:42,0:01:43,主持人,我們也希望讓家長
48,0:01:43,0:01:45,主持人,可以減輕更多的一個負擔
49,0:01:45,0:01:48,主持人,讓我們的幼寶可以得到更多的改善
50,0:01:48,0:01:50,主持人,我們希望不要是一代撐起三代
51,0:01:50,0:01:52,主持人,這樣子的一個慘劇
52,0:01:52,0:01:53,主持人,那到底有什麼部分呢
53,0:01:53,0:01:55,主持人,我們需要可以再改進的呢
54,0:01:55,0:01:55,主持人,還有第三
55,0:01:55,0:01:57,主持人,很重要的是所有的家長
56,0:01:57,0:01:59,主持人,非常關切的雙語教育
57,0:01:59,0:02:02,主持人,目前雙語教育可以說是國際的一個趨勢
58,0:02:02,0:02:04,主持人,我們肯定英文教育的一個重要性
59,0:02:04,0:02:05,主持人,但是呢
60,0:02:05,0:02:07,主持人,當你的政策的方向執行的面向
61,0:02:07,0:02:10,主持人,是有所偏誤扭曲的時候呢
62,0:02:10,0:02:12,主持人,你會讓我們孩子的英文的教育
63,0:02:12,0:02:13,主持人,沒有辦法因此提升
64,0:02:13,0:02:15,主持人,我們的競爭力也不見得成長
65,0:02:15,0:02:18,主持人,你反而是累死了一堆的老師
66,0:02:18,0:02:20,主持人,那這個問題到底在什麼地方
67,0:02:20,0:02:21,主持人,我們等一下可以來看一下
68,0:02:21,0:02:23,主持人,還有數位學習的資源
69,0:02:23,0:02:25,主持人,這個時候你只要提到AI
70,0:02:25,0:02:27,主持人,我想所有的人都會覺得是一個
71,0:02:27,0:02:29,主持人,非常時髦非常創新的
72,0:02:29,0:02:31,主持人,但是AI的整個的一個教育
73,0:02:31,0:02:33,主持人,我們的數位教育
74,0:02:33,0:02:34,主持人,目前來說
75,0:02:34,0:02:36,主持人,政府花了非常多的功夫
76,0:02:36,0:02:36,主持人,但是呢
77,0:02:36,0:02:37,主持人,我們的師資
78,0:02:37,0:02:38,主持人,我們的人力
79,0:02:38,0:02:39,主持人,我們整個的配套
80,0:02:39,0:02:41,主持人,最重要的是AI
81,0:02:41,0:02:43,主持人,目前為止有很多民間的單位
82,0:02:43,0:02:45,主持人,已經做得非常的好了
83,0:02:45,0:02:45,主持人,但是呢
84,0:02:45,0:02:48,主持人,他們卻跟政府所提出的這個平台
85,0:02:48,0:02:50,主持人,出現了一個所謂的疊床架屋
86,0:02:50,0:02:52,主持人,資源互相衝浮的一個狀況
87,0:02:52,0:02:53,主持人,以至於讓我們的數位教育
88,0:02:53,0:02:56,主持人,目前為止沒有像想像中的
89,0:02:56,0:02:58,主持人,實施的這麼樣的一個平順
90,0:02:58,0:02:59,主持人,那更不要說我們偏鄉教育
91,0:02:59,0:03:01,主持人,即使偏鄉教育的發展條例
92,0:03:01,0:03:03,主持人,已經通過非常多了
93,0:03:03,0:03:04,主持人,但是呢
94,0:03:04,0:03:05,主持人,我們的人力
95,0:03:05,0:03:06,主持人,我們的師資
96,0:03:06,0:03:07,主持人,特別是過去呢
97,0:03:07,0:03:09,主持人,我們希望透過這些能夠留住
98,0:03:09,0:03:10,主持人,我們的偏鄉的老師
99,0:03:10,0:03:13,主持人,以前只有三招四招
100,0:03:13,0:03:15,主持人,現在目前已經有十招十一招
101,0:03:15,0:03:16,主持人,各位這些偏遠的孩子
102,0:03:16,0:03:18,主持人,他們渴望一個老師來
103,0:03:18,0:03:20,主持人,卻因為留不住老師
104,0:03:20,0:03:22,主持人,他們要再一次的承受
105,0:03:22,0:03:24,主持人,老師不斷的流失了
106,0:03:24,0:03:26,主持人,這樣子的一個心理上面的
107,0:03:26,0:03:28,主持人,一個安全性是不夠的
108,0:03:28,0:03:29,主持人,所以這也是整個偏鄉教育裡面
109,0:03:29,0:03:31,主持人,我們要特別去注意的
110,0:03:31,0:03:32,主持人,還有108課綱
111,0:03:32,0:03:34,主持人,目前為僅僅十四年
112,0:03:34,0:03:36,主持人,考招已經進入第二年
113,0:03:36,0:03:37,主持人,已經有兩年的
114,0:03:37,0:03:39,主持人,但是你會發現整個的一個配套
115,0:03:39,0:03:41,主持人,包括還是一句話
116,0:03:41,0:03:43,主持人,我們師資人力的調配
117,0:03:43,0:03:44,主持人,還有包括老師的負擔
118,0:03:44,0:03:46,主持人,孩子沒有因為這樣子
119,0:03:46,0:03:49,主持人,他的基礎能力就獲得了提升
120,0:03:49,0:03:50,主持人,這裡面有太多的問題
121,0:03:50,0:03:51,主持人,包括學習檔案
122,0:03:51,0:03:53,主持人,非常多技術的問題
123,0:03:53,0:03:55,主持人,事實上讓不管是家長
124,0:03:55,0:03:56,主持人,老師還是學生
125,0:03:56,0:03:58,主持人,都還在承受一些的一個辛苦
126,0:03:58,0:04:01,主持人,所以108課綱是需要檢討的
127,0:04:01,0:04:03,主持人,還有很重要的技職教育
128,0:04:03,0:04:04,主持人,我們台灣過去的技職教育
129,0:04:04,0:04:06,主持人,可以說是獨創一格
130,0:04:06,0:04:07,主持人,提供我們非常多的
131,0:04:07,0:04:08,主持人,產業上的需求
132,0:04:08,0:04:09,主持人,可是你現在可以發現
133,0:04:09,0:04:11,主持人,產業找不到工
134,0:04:11,0:04:13,主持人,我們畢業的人找不到工作
135,0:04:13,0:04:16,主持人,這個彼此之間學用合一的一個落差
136,0:04:16,0:04:17,主持人,可以說是非常的重要的
137,0:04:17,0:04:19,主持人,技職教育是我們重中之重
138,0:04:19,0:04:20,主持人,但是我們現在的政府
139,0:04:20,0:04:23,主持人,顯然沒有抓對整個的一個方向
140,0:04:23,0:04:25,主持人,還有非常多的科技大學的老師
141,0:04:25,0:04:27,主持人,過去是非常強調技藝
142,0:04:27,0:04:30,主持人,現在是完全用升等來主導一切
143,0:04:30,0:04:31,主持人,這沒有辦法讓我們很多的
144,0:04:31,0:04:32,主持人,不管是科技業
145,0:04:32,0:04:34,主持人,或者在我們的技職的體系當中
146,0:04:34,0:04:37,主持人,可以培養出為這個產業所需要的人才
147,0:04:37,0:04:39,主持人,還有我們的高等教育
148,0:04:39,0:04:40,主持人,各位你可以看得出來
149,0:04:40,0:04:42,主持人,我們過去11年的時候
150,0:04:42,0:04:44,主持人,我們的學生是21.3萬
151,0:04:44,0:04:45,主持人,然後到了117年
152,0:04:45,0:04:47,主持人,將會變成17.7萬
153,0:04:47,0:04:49,主持人,我們的生源的確是腰斬
154,0:04:49,0:04:51,主持人,然後我們整個對於人力的投資
155,0:04:51,0:04:53,主持人,我們對人才的培養
156,0:04:53,0:04:56,主持人,到目前為止還是非常的一個嚴重
157,0:04:56,0:04:58,主持人,那特別是私立學校
158,0:04:58,0:04:59,主持人,一個學校一個學校
159,0:04:59,0:05:01,主持人,面臨一個倒閉的一個風潮
160,0:05:01,0:05:03,主持人,那這個部分政府該怎麼辦
161,0:05:03,0:05:05,主持人,還有我們老師的福利
162,0:05:05,0:05:07,主持人,過去來說的話
163,0:05:07,0:05:10,主持人,雖然我們目前提出了非常多的福利措施
164,0:05:10,0:05:12,主持人,可是你可以發現
165,0:05:12,0:05:14,主持人,我們的老師特別是不管你是
166,0:05:14,0:05:16,主持人,這個兼行政職的
167,0:05:16,0:05:17,主持人,或者是我們的代理代課
168,0:05:17,0:05:18,主持人,他們基本上面
169,0:05:18,0:05:21,主持人,像兼行政職的老師已經5年到10年
170,0:05:21,0:05:24,主持人,他們的導師費並沒有因此而所提升
171,0:05:24,0:05:26,主持人,我們的終點代課老師
172,0:05:26,0:05:28,主持人,等等之類特殊教育的老師
173,0:05:28,0:05:30,主持人,他們的福利不見得提升
174,0:05:30,0:05:33,主持人,還有很重要的在我們的年改之後
175,0:05:33,0:05:35,主持人,我們要留住這個所謂的
176,0:05:35,0:05:37,主持人,師資培育的這些人才的話
177,0:05:37,0:05:38,主持人,其實越來越困難
178,0:05:38,0:05:40,主持人,然後最後終身教育
179,0:05:40,0:05:43,主持人,當聯合國不斷的提到SDGS的時候
180,0:05:43,0:05:44,主持人,是一個未來非常
181,0:05:44,0:05:46,主持人,優質教育非常重要的
182,0:05:46,0:05:48,主持人,但是我們投注在這個終身教育的
183,0:05:48,0:05:49,主持人,只有在1點
184,0:05:49,0:05:51,主持人,在整個教育經費
185,0:05:51,0:05:52,主持人,在1點
186,0:05:52,0:05:53,主持人,過去是在1.89
187,0:05:53,0:05:55,主持人,現在變成1.81
188,0:05:55,0:05:58,主持人,只有30億投注在聯合國認為
189,0:05:58,0:06:01,主持人,未來終身學習非常重要的比率上面
190,0:06:01,0:06:03,主持人,所以這些錢如何花在刀口上面
191,0:06:03,0:06:05,主持人,賴清德總統當每個人質疑他
192,0:06:05,0:06:08,主持人,你過去7年半已經給你這麼多機會
193,0:06:08,0:06:09,主持人,你為什麼都沒有辦法做好
194,0:06:09,0:06:10,主持人,提出這麼多政策
195,0:06:10,0:06:11,主持人,他永遠告訴你
196,0:06:11,0:06:13,主持人,那是因為我們執行的問題
197,0:06:13,0:06:15,主持人,當然是執行的問題
198,0:06:15,0:06:16,主持人,問題就是執行不利
199,0:06:16,0:06:18,主持人,那我們的侯友宜市長
200,0:06:18,0:06:20,主持人,如何在面對這些問題的時候
201,0:06:20,0:06:21,主持人,提出他的解方
202,0:06:21,0:06:22,主持人,我們現在把這個麥克風
203,0:06:22,0:06:24,主持人,交給侯市長
204,0:06:24,0:06:26,侯友宜,謝謝
205,0:06:26,0:06:29,侯友宜,我們教育專家柯志恩教授
206,0:06:29,0:06:31,侯友宜,也是我們國民黨智庫
207,0:06:31,0:06:33,侯友宜,他可以說對教育
208,0:06:33,0:06:35,侯友宜,非常的深刻的了解
209,0:06:35,0:06:37,侯友宜,現在教育的問題在哪裡
210,0:06:37,0:06:39,侯友宜,所以剛剛他把所有的問題點出來
211,0:06:39,0:06:41,侯友宜,我來回答剛剛
212,0:06:41,0:06:43,侯友宜,柯教授所提的問題
213,0:06:43,0:06:45,侯友宜,我則是重點給大家報告
214,0:06:45,0:06:47,侯友宜,身為總統候選人
215,0:06:47,0:06:49,侯友宜,我的教育的主張
216,0:06:49,0:06:51,侯友宜,當然教育
217,0:06:51,0:06:53,侯友宜,一定要給你更多的資源
218,0:06:53,0:06:55,侯友宜,才能夠
219,0:06:55,0:06:57,侯友宜,在我們的教育政治裡面
220,0:06:57,0:06:59,侯友宜,如何落實
221,0:06:59,0:07:02,侯友宜,如何去照顧到更多需要被照顧的
222,0:07:02,0:07:04,侯友宜,不管是偏鄉教育
223,0:07:04,0:07:06,侯友宜,以及給我們的老師
224,0:07:06,0:07:07,侯友宜,家長
225,0:07:07,0:07:09,侯友宜,以及我們的孩子們
226,0:07:09,0:07:12,侯友宜,多多在整個經費上給你挹注
227,0:07:12,0:07:14,侯友宜,所以我特別第一個最重要的主張
228,0:07:14,0:07:19,侯友宜,我特別教育的經費要充足的支持
229,0:07:19,0:07:21,侯友宜,所以財政收入
230,0:07:21,0:07:23,侯友宜,只要在成長的過程當中
231,0:07:23,0:07:26,侯友宜,教育經費就按照這個比例
232,0:07:26,0:07:27,侯友宜,不斷的成長
233,0:07:27,0:07:30,侯友宜,所以我要修改教育經費的編列
234,0:07:30,0:07:31,侯友宜,跟管理法
235,0:07:31,0:07:35,侯友宜,讓教育的編列可以從下限
236,0:07:35,0:07:36,侯友宜,一趴開始
