segment,from,to,speaker,text
1,0:00:00,0:00:05,主持人,台南市競選總部謝龍介總幹事致評
2,0:00:05,0:00:06,謝龍介,謝謝
3,0:00:06,0:00:13,謝龍介,侯市長
4,0:00:13,0:00:15,謝龍介,我們的侯總統
5,0:00:15,0:00:17,謝龍介,我們的主任委員
6,0:00:17,0:00:19,謝龍介,林靜旺主委
7,0:00:19,0:00:22,謝龍介,還有陳以信姚正義
8,0:00:22,0:00:24,謝龍介,邱書蘭中常委
9,0:00:24,0:00:27,謝龍介,我們曾培亞議員李忠誠議員
10,0:00:27,0:00:29,謝龍介,還有我們張美蓮理事長
11,0:00:29,0:00:31,謝龍介,各位姐姐妹妹
12,0:00:31,0:00:33,謝龍介,各位好朋友大家早安大家好
13,0:00:33,0:00:39,謝龍介,這個來自各地不同
14,0:00:39,0:00:41,謝龍介,先來後到
15,0:00:41,0:00:43,謝龍介,你嫁來台灣
16,0:00:43,0:00:45,謝龍介,就是台灣人
17,0:00:45,0:00:46,謝龍介,對不對?
18,0:00:46,0:00:47,觀眾,對
19,0:00:47,0:00:49,謝龍介,不管你來幾年
20,0:00:49,0:00:51,謝龍介,不管你生幾個
21,0:00:51,0:00:54,謝龍介,那你的孩子就是台灣之子
22,0:00:54,0:00:56,謝龍介,那麼你
23,0:00:56,0:01:00,謝龍介,你在異國婚姻
24,0:01:00,0:01:02,謝龍介,相當辛苦
25,0:01:02,0:01:04,謝龍介,來到這邊
26,0:01:04,0:01:08,謝龍介,結合了一個美好幸福的家庭
27,0:01:08,0:01:10,謝龍介,希望能夠我們
28,0:01:10,0:01:12,謝龍介,都願意祝福你
29,0:01:12,0:01:16,謝龍介,也希望你在台灣能夠得到滿滿的祝福好不好?
30,0:01:16,0:01:17,觀眾,好
31,0:01:17,0:01:20,謝龍介,所以侯總統他從政以來
32,0:01:20,0:01:23,謝龍介,自從在新北市擔任副市長
33,0:01:23,0:01:25,謝龍介,一直到擔任市長
34,0:01:25,0:01:27,謝龍介,這12、13年來
35,0:01:27,0:01:30,謝龍介,對於各地來的新住民
36,0:01:30,0:01:33,謝龍介,他的過懷是不遺餘力的
37,0:01:33,0:01:36,謝龍介,然後像我之前我開一個電台就是
38,0:01:36,0:01:38,謝龍介,每個禮拜找新住民來
39,0:01:38,0:01:40,謝龍介,一起來談家鄉菜
40,0:01:40,0:01:42,謝龍介,那越南來的
41,0:01:42,0:01:43,謝龍介,要吃什麼料理
42,0:01:43,0:01:45,謝龍介,泰國來的吃什麼料理
43,0:01:45,0:01:48,謝龍介,大陸來的有四川的有廣東的
44,0:01:48,0:01:50,謝龍介,不管你來自哪裡
45,0:01:50,0:01:52,謝龍介,把你家鄉的口味
46,0:01:52,0:01:53,謝龍介,來跟大家分享
47,0:01:53,0:01:56,謝龍介,把你家鄉的生活
48,0:01:56,0:01:58,謝龍介,所以我們就分享了很多
49,0:01:58,0:02:02,謝龍介,各地在這邊有一些思鄉之苦
50,0:02:02,0:02:04,謝龍介,所以新住民的關懷
51,0:02:04,0:02:06,謝龍介,我們每一個人都在做
52,0:02:06,0:02:08,謝龍介,我們也希望做得更好
53,0:02:08,0:02:13,謝龍介,所以今天特別邀請侯友宜總統到台南來
54,0:02:13,0:02:18,謝龍介,他也要針對關心我們這些新住民
55,0:02:18,0:02:20,謝龍介,他也會提出一些好的政策
