"segment","from","to","speaker","text"
1,00:00:00,00:00:04,"主持人","好 我們感謝今天所有媒體的到來"
2,00:00:04,00:00:09,"主持人","我們今天要發表的是大家非常關切的住宅政策"
3,00:00:09,00:00:12,"主持人","那我們首先介紹今天來參與我們這記者會的來賓"
4,00:00:12,00:00:17,"主持人","那當然就是大家非常熟悉的我們中國國民黨的總統參選人"
5,00:00:17,00:00:18,"主持人","侯友宜 侯市長"
6,00:00:18,00:00:22,"主持人","那第二位是我們政治大學 地政系"
7,00:00:22,00:00:25,"主持人","同時也是建築師的孫政義 孫教授"
8,00:00:25,00:00:30,"主持人","好 那中時我用一點點時間幫大家來做一些背景的介紹"
9,00:00:30,00:00:33,"主持人","我想安居樂業絕是大家非常關切的"
10,00:00:33,00:00:37,"主持人","然後如何讓大家住得好 如何讓大家正是老有所終"
11,00:00:37,00:00:43,"主持人","我想這是所有候選人當中都必須要提出來的一個重大的政策"
12,00:00:43,00:00:47,"主持人","那我們可以看得出來 來我們看下一頁"
13,00:00:47,00:00:51,"主持人","我們可以看得出來社會住宅是所有總統候選人都會特別提到的"
14,00:00:51,00:00:53,"主持人","但是你看看所有的數據"
15,00:00:53,00:00:58,"主持人","從過去到現在到是112年9月底真正完工的"
16,00:00:58,00:01:01,"主持人","社會住宅只有2萬1000多戶"
17,00:01:01,00:01:06,"主持人","而且加上現存的6000多戶也不過才2萬8000戶"
18,00:01:06,00:01:07,"主持人","這是數據"
19,00:01:07,00:01:11,"主持人","如果加上哈不當當你過去可能所提出來的未來"
20,00:01:11,00:01:15,"主持人","有機會完成的12萬住宅好了"
21,00:01:15,00:01:16,"主持人","可能規劃了10萬住宅"
22,00:01:16,00:01:20,"主持人","各位 只佔所有住宅總數的3%而已"
23,00:01:20,00:01:24,"主持人","這距離我們國際標準5%其實還有一大段的距離"
24,00:01:24,00:01:27,"主持人","那為什麼會產生這樣子的一個數字這麼低"
25,00:01:27,00:01:29,"主持人","當然政府的效能不夠"
26,00:01:29,00:01:32,"主持人","還有很多的營建商 自商"
27,00:01:32,00:01:35,"主持人","他們自己所謂的這個動機也不夠"
28,00:01:35,00:01:37,"主持人","所以你會發現新進的能量不足"
29,00:01:37,00:01:43,"主持人","所以沒有辦法促成有效的民間來投入所謂的一個新辦的這樣一個政策"
30,00:01:43,00:01:45,"主持人","而且目前很多人都把這個住宅"
31,00:01:45,00:01:48,"主持人","他們都是認為是自償性很高"
32,00:01:48,00:01:51,"主持人","所以社會住宅的租金是相當貴的"
33,00:01:51,00:01:53,"主持人","而且價價相當因為不夠排不到"
34,00:01:53,00:01:57,"主持人","所以很多人住到三年到六年之後也就被迫就要遷移"
35,00:01:57,00:01:59,"主持人","那遷移完之後 六年完過去之後"
36,00:01:59,00:02:03,"主持人","還是得面對非常高額的所謂的房價租金"
37,00:02:03,00:02:06,"主持人","所以這個部分裡面只能是短暫流動性非常高"
38,00:02:06,00:02:08,"主持人","這是一個非常大的問題"
39,00:02:08,00:02:09,"主持人","那第二個我們來看一下"
40,00:02:09,00:02:12,"主持人","買不起 我想在座每個人都有這種感覺"
41,00:02:12,00:02:16,"主持人","我們全國房價上漲到目前為止已經上漲了30%"
42,00:02:16,00:02:18,"主持人","那當然跟房屋的炒作有關"
43,00:02:18,00:02:22,"主持人","目前大家都把這個房屋當作是金融商品來看待"
44,00:02:22,00:02:26,"主持人","把它當作是一種投資 不僅僅是自住"
45,00:02:26,00:02:29,"主持人","所以你可以看到我們目前到110年的Q1"
46,00:02:29,00:02:31,"主持人","我們的負擔率大概是41.19"
47,00:02:31,00:02:36,"主持人","幾乎你把全部的薪水有一半都是放在繳貸款"
48,00:02:36,00:02:38,"主持人","所以說政府的抑制的房價效果不高"
49,00:02:38,00:02:41,"主持人","而且我們的囤房稅的稅金又偏低"
50,00:02:41,00:02:44,"主持人","所以就是目前造成我們房價居高不下"
51,00:02:44,00:02:46,"主持人","大家都買不起房子"
52,00:02:46,00:02:47,"主持人","那再來看看下面一個"
53,00:02:47,00:02:50,"主持人","你會看看老屋住得不安心"
54,00:02:50,00:02:51,"主持人","到目前為止"
55,00:02:51,00:02:53,"主持人","這個我們台灣所有的住宅"
56,00:02:53,00:02:56,"主持人","大概都已經有一半是超過30年的"
57,00:02:56,00:03:00,"主持人","更不要說我們民國70到80年代住的海砂屋"
58,00:03:00,00:03:02,"主持人","還有921地震之後"
59,00:03:02,00:03:05,"主持人","我們所關切的這個所謂的避震的係數"
60,00:03:05,00:03:07,"主持人","這些都是過去我們沒有想到"
61,00:03:07,00:03:09,"主持人","正現在問題一一出現了"
62,00:03:09,00:03:12,"主持人","所以你會看到老屋沒有辦法滿足現在的生活"
63,00:03:12,00:03:15,"主持人","那當然就是容積的這樣子的管控的管理"
64,00:03:15,00:03:17,"主持人","勢必要面臨極度的一個修法"
65,00:03:17,00:03:20,"主持人","否則沒有辦法面對現在的需求"
66,00:03:20,00:03:22,"主持人","那目前為止大家都非常關切的"
67,00:03:22,00:03:25,"主持人","老屋當然就是缺乏電梯跟無障礙設施"
68,00:03:25,00:03:27,"主持人","但我們在114年的時候"
69,00:03:27,00:03:29,"主持人","就會面臨超超高齡的一個社會"
70,00:03:29,00:03:31,"主持人","全國有20%是老人"
71,00:03:31,00:03:34,"主持人","如果沒有辦法給予他們有電梯的住宅"
72,00:03:34,00:03:35,"主持人","這些老人根本就是關在樓上"
73,00:03:35,00:03:37,"主持人","像是在住監獄一樣"
74,00:03:37,00:03:38,"主持人","沒有辦法自行下樓"
75,00:03:38,00:03:41,"主持人","那更不要說我們我剛剛所提到的耐震"
76,00:03:41,00:03:43,"主持人","消防跟公共安全設置"
77,00:03:43,00:03:46,"主持人","還有地震災害極端氣候所在存的影響"
78,00:03:46,00:03:48,"主持人","那還有呢所有的這個軌道"
79,00:03:48,00:03:49,"主持人","我們在這個規劃裡面"
80,00:03:49,00:03:51,"主持人","其實跟我們整個都市發展"
81,00:03:51,00:03:52,"主持人","都是完全脫鉤的"
82,00:03:52,00:03:55,"主持人","所以你可以看到的這個只要捷運"
83,00:03:55,00:03:56,"主持人","到過去的旁邊"
84,00:03:56,00:03:58,"主持人","住宅都飛漲 更買不起"
85,00:03:58,00:04:00,"主持人","但是呢整個的發展裡面"
86,00:04:00,00:04:02,"主持人","你還是沒有辦法帶動"
87,00:04:02,00:04:04,"主持人","老屋的這樣子的一個更新"
88,00:04:04,00:04:07,"主持人","這三個的問題我想都是存在已久"
89,00:04:07,00:04:09,"主持人","但是呢我們可以以小窺大"
90,00:04:09,00:04:11,"主持人","今天我們所提出來的政策呢"
91,00:04:11,00:04:12,"主持人","當然是有所本"
92,00:04:12,00:04:13,"主持人","而且是從我們新北市開始"
93,00:04:13,00:04:16,"主持人","從新北市這麼樣的一個"
94,00:04:16,00:04:17,"主持人","地方的一個建設"
95,00:04:17,00:04:19,"主持人","它真的是可以突破這樣困難"
96,00:04:19,00:04:20,"主持人","那我們先來看看新北"
97,00:04:20,00:04:21,"主持人","怎麼樣來做"
98,00:04:21,00:04:23,"主持人","那更重要的是"
99,00:04:23,00:04:24,"主持人","如何拓展到我們全國"
100,00:04:24,00:04:26,"主持人","可以變成是一個大家"
101,00:04:26,00:04:28,"主持人","社宅可以排得到"
102,00:04:28,00:04:29,"主持人","老屋可以翻新"
103,00:04:29,00:04:30,"主持人","那最重要是房屋"
104,00:04:30,00:04:31,"主持人","大家買得起"
105,00:04:31,00:04:33,"主持人","那我們接下來就請我們的"
106,00:04:33,00:04:34,"主持人","新北市長 侯市長"
