segment,from,to,text
1,00:00:00.000,00:00:04.000,(音樂)
2,00:00:04.000,00:00:08.000,(音樂)
3,00:00:08.000,00:00:10.000,"兩分鐘,各位等一下兩分鐘,稍微有人"
4,00:00:10.000,00:00:12.000,稍微有人兩分鐘給你打到
5,00:00:12.000,00:00:14.000,我們要公佈一下
6,00:00:14.000,00:00:28.000,(音樂)
7,00:00:28.000,00:00:54.000,(音樂)
8,00:00:54.000,00:00:56.000,"好,今天下午非常感謝"
9,00:00:56.000,00:00:58.000,所有的媒體朋友來參加
10,00:00:58.000,00:01:00.000,我們這一次的有關於
11,00:01:00.000,00:01:03.000,觀光產業的振興的記者會
12,00:01:03.000,00:01:05.000,我們首先介紹今天來參加的
13,00:01:05.000,00:01:07.000,與談的人
14,00:01:07.000,00:01:10.000,第一個就是我們中國國民黨的總統
15,00:01:10.000,00:01:13.000,參選人侯友宜、侯市長
16,00:01:13.000,00:01:17.000,第二位是中華優質旅遊發展協會的
17,00:01:17.000,00:01:20.000,李市長李祺鈺、李博士
18,00:01:20.000,00:01:22.000,(掌聲)
19,00:01:22.000,00:01:24.000,我是議題召集人柯志恩
20,00:01:24.000,00:01:26.000,謝謝
21,00:01:26.000,00:01:28.000,"好,我們來看一下"
22,00:01:28.000,00:01:30.000,我想觀光立國
23,00:01:30.000,00:01:32.000,觀光產業幾乎是所有世界各國
24,00:01:32.000,00:01:36.000,每一個人都急於要振興的產業
25,00:01:36.000,00:01:38.000,特別是在COVID-19之後
26,00:01:38.000,00:01:40.000,每個人都是加緊腳步
27,00:01:40.000,00:01:44.000,希望能夠透過觀光來增加國家的產值
28,00:01:44.000,00:01:46.000,而且觀光說實在的
29,00:01:46.000,00:01:50.000,它是少數幾個不會有產業外移的問題
30,00:01:50.000,00:01:52.000,而且發展得好的話
31,00:01:52.000,00:01:57.000,不管在我們的交通、住宿、服務、餐旅來說
32,00:01:57.000,00:01:58.000,都可以營造一面
33,00:01:58.000,00:02:00.000,欣欣向榮的一個局面
34,00:02:00.000,00:02:03.000,所以對於未來的總統參選人來說
35,00:02:03.000,00:02:06.000,提出一個可行、確實
36,00:02:06.000,00:02:09.000,而且能夠真正的讓我們的觀光業者
37,00:02:09.000,00:02:12.000,能夠有感的一個政策
38,00:02:12.000,00:02:14.000,可以說是非常重要的
39,00:02:14.000,00:02:17.000,在沒有侯市長講出他的觀光政策之前
40,00:02:17.000,00:02:19.000,我們先來看一下一些數據
41,00:02:19.000,00:02:20.000,我們看一下
42,00:02:20.000,00:02:22.000,我們這個比較
43,00:02:22.000,00:02:25.000,我們當然都知道在COVID-19完之後
44,00:02:25.000,00:02:28.000,整個全世界都面臨一個慘狀
45,00:02:28.000,00:02:30.000,所以我們的數據就來看一下
46,00:02:30.000,00:02:33.000,在2019年是COVID-19之前
47,00:02:33.000,00:02:34.000,你可以看得出來
48,00:02:34.000,00:02:37.000,在馬政府時代的2008到2015
49,00:02:37.000,00:02:39.000,國民黨執政的時候
50,00:02:39.000,00:02:42.000,我們看它整個觀光的成長數率來說的話
51,00:02:42.000,00:02:45.000,馬政府是15%
52,00:02:45.000,00:02:48.000,而在民進黨執政的這4年的平均來說的話
53,00:02:48.000,00:02:51.000,大概是緩慢的成長3%
54,00:02:51.000,00:02:54.000,所以不管是人數還是產值
55,00:02:54.000,00:02:55.000,你可以看得出來
56,00:02:55.000,00:02:57.000,這個民進黨執政的話
57,00:02:57.000,00:03:00.000,它的部分是從15%降到3%
58,00:03:00.000,00:03:02.000,接下來我們來看一下
59,00:03:02.000,00:03:05.000,觀光人均的消費
60,00:03:05.000,00:03:08.000,我想是所有的業者裡面是最關切的
61,00:03:08.000,00:03:11.000,你可以從2016年到2019年
62,00:03:11.000,00:03:13.000,你會看到來台旅遊的每人
63,00:03:13.000,00:03:15.000,每次的平均消費
64,00:03:15.000,00:03:17.000,它是不增、反減
65,00:03:17.000,00:03:22.000,這些數據都是在COVID-19之前所呈現出來的
66,00:03:22.000,00:03:25.000,這是我們也根據它的數據裡面來看出來
67,00:03:25.000,00:03:27.000,接下來我們就再來看一下
68,00:03:27.000,00:03:29.000,我想所有的業者都會非常的清楚的知道
69,00:03:29.000,00:03:31.000,我們真的希望觀光客來
70,00:03:31.000,00:03:35.000,能夠在台灣停留的時間數越長的話
71,00:03:35.000,00:03:37.000,其實他賺的錢就越多
72,00:03:37.000,00:03:39.000,這不管是在國內跟國外都是一樣
73,00:03:39.000,00:03:40.000,國旅來說的話
74,00:03:40.000,00:03:42.000,通常我們可以看得出來
75,00:03:42.000,00:03:44.000,通常我們去外面旅遊
76,00:03:44.000,00:03:47.000,通常平均待的天數是1.47天
77,00:03:47.000,00:03:52.000,國外旅遊到台灣來大概平均可以待到6.87天
78,00:03:52.000,00:03:53.000,所以你就會知道
79,00:03:53.000,00:03:55.000,能夠讓我們的觀光人數待的越長
80,00:03:55.000,00:03:58.000,其實業者是越歡迎的
81,00:03:58.000,00:03:59.000,接下來就要看
