segment,from,to,speaker,text,,,,,,
46,0:02:55,0:02:59,侯友宜,這幾個我們再看整個運動的發展,,https://www.youtube.com/watch?app=desktop&v=dC0dJbIkqWU,,,,38'19
47,0:02:59,0:03:03,侯友宜,最近我們看到我們杭州亞運,,,,,,
48,0:03:03,0:03:07,侯友宜,我們的體育選手表現非常結束,,,,,,
49,0:03:07,0:03:09,侯友宜,在十個項目裡面,,,,,,
50,0:03:09,0:03:12,侯友宜,拿到十九個冠軍,,,,,,
51,0:03:12,0:03:17,侯友宜,冠軍都是我們國家運動選手,,,,,,
52,0:03:17,0:03:22,侯友宜,可以講他奮鬥為國家爭取光榮而來,,,,,,
53,0:03:22,0:03:25,侯友宜,在這不是光榮而來的背後,,,,,,
54,0:03:25,0:03:30,侯友宜,每一份選手自己要付出全力以赴以外,,,,,,
55,0:03:30,0:03:35,侯友宜,要由來政府民間以及產業,,,,,,
56,0:03:35,0:03:37,侯友宜,來給予鼎力的協助,,,,,,
57,0:03:37,0:03:42,侯友宜,才能夠讓這個選手能夠在自己的運動生涯裡面,,,,,,
58,0:03:42,0:03:44,侯友宜,能夠永續發展,,,,,,
59,0:03:44,0:03:46,侯友宜,也能夠多元性,,,,,,
60,0:03:46,0:03:52,侯友宜,尤其新北市有一個非常有名的穀保棒球隊,,,,,,
61,0:03:52,0:03:56,侯友宜,那榖保棒球隊可以講,,,,,,
62,0:03:56,0:04:00,侯友宜,在我們蔡明堂議員現在在拼立委,,,,,,
63,0:04:00,0:04:05,侯友宜,他這一輩子就是奉獻給我們的棒球,,,,,,
64,0:04:05,0:04:08,侯友宜,他不但培育**棒球,,,,,,
65,0:04:08,0:04:11,侯友宜,更重要對穀保家商的棒球隊,,,,,,
66,0:04:11,0:04:17,侯友宜,投下最多的心力才能夠在世界,,,,,,
67,0:04:17,0:04:19,侯友宜,在U18拿到冠軍,,,,,,
68,0:04:19,0:04:23,侯友宜,黑豹旗高中聯賽都是冠軍,,,,,,
69,0:04:23,0:04:30,侯友宜,可以講是全台灣培養棒球選手最重要的搖籃,,,,,,
70,0:04:30,0:04:32,侯友宜,現在放眼大職連,,,,,,
71,0:04:32,0:04:35,侯友宜,美國的大聯盟小聯盟,,,,,,
72,0:04:35,0:04:37,侯友宜,甚至包括我們的職棒,,,,,,
73,0:04:37,0:04:41,侯友宜,很多的選手都來自於穀保家商的選手,,,,,,
74,0:04:41,0:04:44,侯友宜,這個要謝謝我們蔡明堂議員,,,,,,
75,0:04:44,0:04:50,侯友宜,立委他全心全力帶動台灣棒球的扶球的永續發展,,,,,,
76,0:04:50,0:04:53,侯友宜,當然是光靠他一個人是不夠的,,,,,,
77,0:04:53,0:04:57,侯友宜,必須要仰賴政府要全力的協助,,,,,,
78,0:04:57,0:05:00,侯友宜,你要民間發揮,,,,,,
79,0:05:00,0:05:03,侯友宜,尤其在這過程當中,,,,,,
80,0:05:03,0:05:10,侯友宜,我們看到台灣在爭取運動國際型的大賽事,,,,,,
81,0:05:10,0:05:13,侯友宜,往往爭取到以後比賽完了,,,,,,
82,0:05:13,0:05:22,侯友宜,很多的人員、組織以及所有叫永續管理的人才就斷層了,,,,,,
83,0:05:22,0:05:30,侯友宜,所以像我們世界運動會以及奧運聽障會,,,,,,
84,0:05:30,0:05:36,侯友宜,甚至世大運每一次辦完比賽,,,,,,
85,0:05:36,0:05:41,侯友宜,這些有經驗的承辦同仁以及裡面的組織就解散了,,,,,,
86,0:05:41,0:05:42,侯友宜,非常可惜,,,,,,
87,0:05:42,0:05:46,侯友宜,所以台灣要走去國際運動賽事,,,,,,
88,0:05:46,0:05:55,侯友宜,必須要讓這些所有用舉辦承辦過運動賽事的人才,,,,,,
