segment,from,to,text
1,00:00:00.000,00:00:04.000,我們今天的合作與同事黨議員、職業議員、省級委員
2,00:00:04.000,00:00:07.400,還有我們輝豪 安徽市的IMD的備案人
3,00:00:07.400,00:00:09.400,還有我們里長聯誼會的主席
4,00:00:09.400,00:00:12.900,IMD總共被騙九十二億
5,00:00:12.900,00:00:14.900,九十二億
6,00:00:14.900,00:00:19.900,但是呢 騙更多的是勤詳益的集團是一百六十幾億
7,00:00:19.900,00:00:23.400,我們各位里長 各位里民 各位媒體先進
8,00:00:23.400,00:00:26.400,還有張家明 過去我們的老同事
9,00:00:26.400,00:00:28.400,大家早安 大家平安
10,00:00:28.400,00:00:30.400,(掌聲)
11,00:00:30.400,00:00:34.400,我們侯市長 看到這麼多的新聞
12,00:00:34.400,00:00:37.400,心裡覺得 我們台灣、中華民國
13,00:00:37.400,00:00:40.400,怎麼會變成一個詐騙集團的王國
14,00:00:40.400,00:00:46.400,他很擔心的 說一張臨時 我們跟夥伴討論了
15,00:00:46.400,00:00:48.400,因為很緊急的意思是
16,00:00:48.400,00:00:52.400,昨天剛好有一個備案人被騙一千七百萬
17,00:00:52.400,00:01:01.400,又來好了 掉眼淚 急哄騙 而且還怎樣子 豬扒子
18,00:01:01.400,00:01:04.400,我們社會 何時變成
19,00:01:04.400,00:01:08.400,台灣何時變成這樣子的詐騙的情況
20,00:01:08.400,00:01:11.400,說老實話 我在做黑衣社會的時候
21,00:01:11.400,00:01:13.400,當警察的時候
22,00:01:13.400,00:01:16.400,詐騙集團在陳水扁執政的時候
23,00:01:16.400,00:01:18.400,我的辦公室 外辦公室前面
24,00:01:18.400,00:01:20.400,六支電話
25,00:01:20.400,00:01:23.400,我當刑事組組長 我的桌子就六支電話
26,00:01:23.400,00:01:25.400,為什麼 隨時打電話
27,00:01:25.400,00:01:27.400,在我們當初沒有165
28,00:01:27.400,00:01:31.400,隨時打電話 隨時要取槍 隨時去抓人
29,00:01:31.400,00:01:33.400,隨時被抓人
30,00:01:33.400,00:01:37.400,但是這個情況 過去這八年
31,00:01:37.400,00:01:40.400,越來越嚴重
32,00:01:40.400,00:01:42.400,尤其是台版的柬埔寨
33,00:01:42.400,00:01:44.400,等一下何明山何里長會講
34,00:01:44.400,00:01:47.400,為什麼台灣有台版的這個詐騙集團
35,00:01:47.400,00:01:50.400,感謝何明山救人無數
36,00:01:50.400,00:01:53.400,何里長救人無數
37,00:01:53.400,00:01:55.400,來 大家給他我們掌聲鼓勵
38,00:01:55.400,00:01:57.400,本來那麼你知道
39,00:01:57.400,00:02:03.400,台灣怎麼可能會有台版的這個柬埔寨
40,00:02:03.400,00:02:07.400,就是以快點拜託我們淡水分局
41,00:02:07.400,00:02:11.400,蘆洲分局刑警大隊集合起來以後
42,00:02:11.400,00:02:16.400,就在我們的這個淡水救出28個人
43,00:02:16.400,00:02:18.400,現場攻堅進去
44,00:02:18.400,00:02:21.400,桃園的親僕又救了32個人
45,00:02:21.400,00:02:24.400,這才是他現身說法
46,00:02:24.400,00:02:26.400,因為他第一時間來找我
