segment,from,to,text
1,00:00:00.000,00:00:02.000,在市長的身上
2,00:00:02.000,00:00:06.000,他將會成為市長的主任
3,00:00:06.000,00:00:09.000,他將會成為市長的主任
4,00:00:09.000,00:00:12.000,他將會成為市長的主任
5,00:00:12.000,00:00:15.000,他將會成為市長的主任
6,00:00:15.000,00:00:18.000,他將會成為市長的主任
7,00:00:18.000,00:00:21.000,他將會成為市長的主任
8,00:00:21.000,00:00:24.000,他將會成為市長的主任
9,00:00:24.000,00:00:27.000,他將會成為市長的主任
10,00:00:27.000,00:00:30.000,他將會成為市長的主任
11,00:00:30.000,00:00:33.000,他將會成為市長的主任
12,00:00:33.000,00:00:36.000,他將會成為市長的主任
13,00:00:36.000,00:00:39.000,他將會成為市長的主任
14,00:00:39.000,00:00:42.000,他將會成為市長的主任
15,00:00:42.000,00:00:45.000,他將會成為市長的主任
16,00:00:45.000,00:00:48.000,他將會成為市長的主任
17,00:00:48.000,00:00:51.000,他將會成為市長的主任
18,00:00:51.000,00:00:54.000,他將會成為市長的主任
19,00:00:54.000,00:00:58.000,而且事實上第一支主題是騙
20,00:00:58.000,00:01:01.000,第二支主題是舉
21,00:01:01.000,00:01:07.000,過去不管在電視或網路很多通路
22,00:01:07.000,00:01:10.000,這些影片都引起相當大的迴響
23,00:01:10.000,00:01:15.000,主要是這些議題是人民有感的題目
24,00:01:15.000,00:01:20.000,也是民進黨執政近8年骯髒的證據
25,00:01:20.000,00:01:23.000,我們提出問題當然也要解決問題
26,00:01:23.000,00:01:27.000,今天第三支主題就是現行
27,00:01:27.000,00:01:30.000,侯友宜已經公開的承諾
28,00:01:30.000,00:01:34.000,當選後半年內將成立特徵組
29,00:01:34.000,00:01:39.000,一年內就要把民進黨這些年所做的
30,00:01:39.000,00:01:42.000,遏制的事情通通查清楚
31,00:01:42.000,00:01:45.000,包括黑箱疫苗進口雞蛋
32,00:01:45.000,00:01:47.000,IMB詐騙案
33,00:01:47.000,00:01:49.000,綠能發電
34,00:01:49.000,00:01:51.000,綠營發財等等
35,00:01:51.000,00:01:55.000,很多的弊案一件一件的都要把他追出來
36,00:01:55.000,00:01:59.000,讓他真相大白還給人民一個公道
37,00:01:59.000,00:02:03.000,那今天首先我們先看影片的內容
38,00:02:03.000,00:02:05.000,金玉龍
39,00:02:05.000,00:02:19.000,(音樂)
40,00:02:19.000,00:02:21.000,繼續推動改革
41,00:02:21.000,00:02:26.000,把我們曾經承諾的事一項一項的來事件
42,00:02:26.000,00:02:30.000,謙卑謙卑再謙卑
43,00:02:30.000,00:02:59.000,(音樂)
44,00:02:59.000,00:03:01.000,是的 揭開重重弊案
45,00:03:01.000,00:03:03.000,下架貪腐集團
46,00:03:03.000,00:03:09.000,接下來我們先請洪威姐來發言
47,00:03:09.000,00:03:12.000,謝謝子澤還有國春
48,00:03:12.000,00:03:15.000,以及我們現場各位媒體朋友
49,00:03:15.000,00:03:17.000,網路前面的朋友大家早安
50,00:03:17.000,00:03:20.000,我想我們今天召開的記者會
51,00:03:20.000,00:03:23.000,事實上是程序
52,00:03:23.000,00:03:26.000,我們在這一次的競選主軸
53,00:03:26.000,00:03:30.000,就是針對我們現在的執政黨的
54,00:03:30.000,00:03:35.000,所有的貪腐舞弊黑箱的這些弊案
55,00:03:35.000,00:03:40.000,我們必須要透過政黨輪替
56,00:03:40.000,00:03:43.000,我們才能夠開箱這些大秘寶
57,00:03:43.000,00:03:47.000,我們才能夠把這些黑箱舞弊的作業
58,00:03:47.000,00:03:49.000,攤在陽光下
59,00:03:49.000,00:03:53.000,所以為什麼侯友宜市長
60,00:03:53.000,00:03:55.000,他的競選的政見裡面
61,00:03:55.000,00:03:58.000,有一個非常非常重要的政見
62,00:03:58.000,00:04:02.000,這也是我們在其他的候選人沒有看到的
63,00:04:02.000,00:04:07.000,就是他要重啟特徵組的成立
64,00:04:07.000,00:04:10.000,過去特徵組的成立
65,00:04:10.000,00:04:15.000,事實上他辦案上至第一家庭
66,00:04:15.000,00:04:18.000,還有五院的院長
67,00:04:18.000,00:04:21.000,甚至立法委員
68,00:04:21.000,00:04:24.000,還有甚至政黨的這些
69,00:04:24.000,00:04:27.000,甚至包含執政黨的高官
70,00:04:27.000,00:04:30.000,特徵組通通調查
71,00:04:30.000,00:04:32.000,絕不手亂
72,00:04:32.000,00:04:36.000,所以今天我們為什麼要下架民進黨
73,00:04:36.000,00:04:39.000,要下架民進黨最主要的目的
74,00:04:39.000,00:04:43.000,就是要下架這些貪腐
75,00:04:43.000,00:04:46.000,這些舞弊的這些弊案
76,00:04:46.000,00:04:49.000,我們也希望透過成立特徵組
77,00:04:49.000,00:04:52.000,把剛才我們影片所呈現的
78,00:04:52.000,00:04:55.000,這些長期國人質疑
79,00:04:55.000,00:04:57.000,搞不清楚
80,00:04:57.000,00:05:01.000,希望能夠知道這些千絲萬縷的弊案
81,00:05:01.000,00:05:03.000,能夠查得乾淨
82,00:05:03.000,00:05:05.000,給國人一個交代
83,00:05:05.000,00:05:07.000,所以在這裡
84,00:05:07.000,00:05:11.000,我相信所有的國人跟我們一樣
85,00:05:11.000,00:05:14.000,譬如剛才子哲所提到的
86,00:05:14.000,00:05:18.000,包含疫苗採購的黑箱作業
87,00:05:18.000,00:05:21.000,我們到現在也搞不清楚
88,00:05:21.000,00:05:27.000,那個時候為什麼要擋國外的BNT疫苗
89,00:05:27.000,00:05:30.000,為什麼要獨厚高端
90,00:05:30.000,00:05:32.000,還有光電
91,00:05:32.000,00:05:34.000,這些光電弊案
92,00:05:34.000,00:05:38.000,變成在發展綠能的過程裡面
93,00:05:38.000,00:05:44.000,我們發現怎麼跟民進黨交好的一些企業
94,00:05:44.000,00:05:46.000,民進黨的派系
95,00:05:46.000,00:05:48.000,民進黨的政治人物
96,00:05:48.000,00:05:52.000,你只要掛上小英之友會的某某某
97,00:05:52.000,00:05:55.000,然後你在光電裡面
98,00:05:55.000,00:05:58.000,你就可以無往不利
99,00:05:58.000,00:06:01.000,然後你就可以在短暫的時間之內
100,00:06:01.000,00:06:02.000,點石成精
101,00:06:02.000,00:06:05.000,這都是我們需要調查清楚的
102,00:06:05.000,00:06:10.000,還有前一陣子我們討論的雞蛋問題
103,00:06:10.000,00:06:11.000,討論的雞蛋問題
104,00:06:11.000,00:06:15.000,到現在為止不要流向說不清楚講不明白
105,00:06:15.000,00:06:17.000,到底他的採購過程
106,00:06:17.000,00:06:20.000,我們仍然認為這是黑箱
107,00:06:20.000,00:06:22.000,要向國人交代
108,00:06:22.000,00:06:24.000,我剛才特別提到
109,00:06:24.000,00:06:26.000,過去的特徵組
110,00:06:26.000,00:06:28.000,總統他查
111,00:06:28.000,00:06:30.000,第一家庭他查
112,00:06:30.000,00:06:31.000,院長他查
113,00:06:31.000,00:06:32.000,類委他查
114,00:06:32.000,00:06:35.000,你是政黨的什麼秘書長高官
115,00:06:35.000,00:06:37.000,我也查
116,00:06:37.000,00:06:40.000,所以現在我們包括
117,00:06:40.000,00:06:42.000,像剛才特別提到
118,00:06:42.000,00:06:45.000,到現在為止詐騙恨刑
119,00:06:45.000,00:06:49.000,IMB這些他所背後牽涉的
120,00:06:49.000,00:06:52.000,這些政商關係
121,00:06:52.000,00:06:54.000,大家搞清楚了嗎
122,00:06:54.000,00:06:56.000,不要忘記
123,00:06:56.000,00:07:00.000,這裡面包含我們貴為我們監察院的院長陳菊
124,00:07:00.000,00:07:04.000,包含貴為行政院副院長的鄭文燦
125,00:07:04.000,00:07:08.000,他們到底跟IMB這樣的一個詐欺集團
126,00:07:08.000,00:07:10.000,到底什麼關係
127,00:07:10.000,00:07:13.000,難道不應該查清楚嗎
128,00:07:13.000,00:07:16.000,所以這就是為什麼我們今天
129,00:07:16.000,00:07:20.000,再一次的跟所有的國人來訴求
130,00:07:20.000,00:07:23.000,這個影片是代表我們的承諾
131,00:07:23.000,00:07:26.000,把這些像蜘蛛網一樣
132,00:07:26.000,00:07:30.000,密密麻麻的政商關係的蜘蛛網
133,00:07:30.000,00:07:32.000,我們一一的把它解開
134,00:07:32.000,00:07:36.000,這才是我們要求政黨輪替的真諦
