segment,from,to,speaker,text
1,0:00:00,0:00:03,主持人,柯主席 各位先進
2,0:00:03,0:00:06,主持人,各位台灣民眾黨的好朋友
3,0:00:06,0:00:07,主持人,大家早安 大家好
4,0:00:07,0:00:09,觀眾,早安
5,0:00:12,0:00:15,主持人,我是今天 把國家還給你
6,0:00:15,0:00:18,主持人,記者會的主持人 張啟楷
7,0:00:22,0:00:26,主持人,今天我們召開的不是只有一場政策的這個記者會
8,0:00:27,0:00:29,主持人,它是一個很重要的見證會
9,0:00:29,0:00:36,主持人,見證柯文哲跟民眾黨對國家未來發展願景提出的承諾見證會
10,0:00:39,0:00:40,主持人,我們說到一定做到
11,0:00:40,0:00:44,主持人,然後今天最重要的是有很多貴賓是我們見證人好不好
12,0:00:46,0:00:49,主持人,謝謝大家來參加我們今天的記者會
13,0:00:49,0:00:49,主持人,今天啦
14,0:00:50,0:00:52,主持人,有超過50位
15,0:00:53,0:00:54,主持人,各個領域裡面的翹楚
16,0:00:55,0:00:56,主持人,不是只有學界
17,0:00:56,0:00:59,主持人,產官學界的重要人士今天都在現場的
18,0:00:59,0:01:00,主持人,另外
19,0:01:00,0:01:02,主持人,今天很特別的是有
20,0:01:02,0:01:03,主持人,非常多的
21,0:01:03,0:01:05,主持人,資深媒體人員在我們現場
22,0:01:05,0:01:08,主持人,他們以前採訪的過程裡面
23,0:01:08,0:01:10,主持人,從戒嚴到解嚴
24,0:01:10,0:01:11,主持人,從
25,0:01:12,0:01:14,主持人,威權到民主他們都走過了
26,0:01:14,0:01:16,主持人,那他們最近發現一個問題
27,0:01:16,0:01:19,主持人,我們台灣的民主化是不是出現了一部分的
28,0:01:19,0:01:21,主持人,倒退甚至很多的挑戰是不是
29,0:01:22,0:01:25,主持人,所以今天我們都是見證人今天邀請大家來
30,0:01:25,0:01:26,主持人,我們
31,0:01:26,0:01:28,主持人,請大家一起來見證
32,0:01:29,0:01:29,主持人,一方面
33,0:01:30,0:01:31,主持人,除了我們承諾之外
34,0:01:31,0:01:33,主持人,一方面我們要見證柯文哲
35,0:01:33,0:01:34,主持人,接下來我們
36,0:01:35,0:01:37,主持人,台灣民主的香火好不好
37,0:01:41,0:01:44,主持人,我們希望接下來台灣民主香火柯文哲
38,0:01:44,0:01:46,主持人,也讓台灣打造一個
39,0:01:46,0:01:47,主持人,永續發展
40,0:01:47,0:01:49,主持人,長治久安的環境好不好
41,0:01:51,0:01:54,主持人,今天民眾黨要非常鄭重的宣示
42,0:01:55,0:01:57,主持人,我們要終結有權無責的
43,0:01:57,0:02:00,主持人,獨裁總統制把國家還給你
44,0:02:01,0:02:03,主持人,這是我們的立場也是我們的主張
45,0:02:08,0:02:16,主持人,等一下柯文哲柯主席會上台跟大家報告他的主張跟承諾
46,0:02:16,0:02:23,主持人,那在這之前我要跟大家報告 這段時間我們在討論 我們很多民眾黨的夥伴都說
47,0:02:23,0:02:30,主持人,今天柯主席提出來的是我們台灣憲政前瞻的基礎建設
48,0:02:30,0:02:34,主持人,大家聽到前瞻基礎建設會不會嚇一跳
49,0:02:34,0:02:41,主持人,我們跟大家保證我們不會浪費國家8400億的特別預算
50,0:02:44,0:02:45,主持人,更重要的
51,0:02:46,0:02:48,主持人,我們很有機會建立
52,0:02:48,0:02:50,主持人,中華民國民主化以來
53,0:02:50,0:02:52,主持人,第一個 聯合政府
54,0:02:57,0:03:00,主持人,只要柯文哲當選 明年的520
55,0:03:00,0:03:02,主持人,大家就會看到一個
56,0:03:02,0:03:08,主持人,廣納各黨各派優秀的人才的聯合政府 好不好
57,0:03:10,0:03:13,主持人,柯文哲會限縮自己的權限
58,0:03:13,0:03:16,主持人,他會推動整個修憲
59,0:03:16,0:03:19,主持人,修憲之前很多事情該做的他也會先做
60,0:03:19,0:03:24,主持人,然後讓我們的國家體制慢慢慢慢的走向民主內閣制 好不好
61,0:03:24,0:03:25,觀眾,好
62,0:03:25,0:03:32,主持人,我們等一下要邀請老中青三位代表上台來演講
63,0:03:32,0:03:37,主持人,那等一下我們要請主席上來報告他的這個主張跟他這個承諾
64,0:03:37,0:03:41,主持人,那報告之前我們要先請大家看一段影片
65,0:03:41,0:03:43,主持人,這個影片介紹的重點就是
66,0:03:43,0:03:48,主持人,柯文哲為什麼這麼堅持這麼積極的要去推動我們的憲政改革
67,0:03:48,0:03:50,主持人,來 我們來看我們的影片
68,0:03:53,0:03:57,影片,中華民國的憲法精神是什麼呢?
69,0:03:57,0:04:00,影片,中華民國憲法的最初設計
70,0:04:00,0:04:04,影片,採取內閣制精神和節制總統權力
71,0:04:04,0:04:09,影片,總統任免事項均須得立法院或監察院同意
72,0:04:09,0:04:13,影片,且其簽署之命令需得到行政院長副署
73,0:04:13,0:04:15,影片,後來因為國家戰亂
74,0:04:15,0:04:18,影片,戒嚴體制、動員戡亂條款
75,0:04:18,0:04:21,影片,不斷擴大總統權力
76,0:04:21,0:04:23,影片,1980年代後
77,0:04:23,0:04:25,影片,台灣興起民主運動
78,0:04:25,0:04:27,影片,歷經七次修憲
79,0:04:27,0:04:30,影片,卻變相地擴大總統權力
80,0:04:30,0:04:33,影片,行政院長任命不需經立法院同意
81,0:04:33,0:04:38,影片,部會首長任命不必經過國會聽證程序
82,0:04:38,0:04:42,影片,民意對行政權的監督制衡力量弱化
83,0:04:42,0:04:46,影片,形成贏者全拿的威權總統制
84,0:04:46,0:04:48,影片,總統一人獨攬權力
85,0:04:48,0:04:50,影片,個人意志凌駕一切
86,0:04:50,0:04:53,影片,猶如民選皇帝
87,0:04:53,0:04:59,影片,至此中華民國憲法內閣制的精神已形同具文
88,0:04:59,0:05:03,影片,憲法給我們的聖誕禮物是內閣制
89,0:05:03,0:05:07,影片,但現在12月25日的行憲紀念日
90,0:05:07,0:05:12,影片,紀念的還是當時中華民國的內閣制精神嗎?
91,0:05:12,0:05:15,影片,目前實行的威權總統制
92,0:05:15,0:05:16,影片,偷走了我們的國家
93,0:05:16,0:05:20,影片,總統不只不用進國會接受監督
94,0:05:20,0:05:23,影片,可以745天不受訪
95,0:05:23,0:05:24,影片,不面對人民
96,0:05:24,0:05:26,影片,甚至可以說
97,0:05:26,0:05:29,影片,我卸任後就不干我的事了
98,0:05:29,0:05:31,影片,因為他不用負責啊
99,0:05:31,0:05:33,影片,總統面對勞工權益
100,0:05:33,0:05:34,影片,他可以說
101,0:05:34,0:05:37,影片,你去跟你們老闆說嘛
102,0:05:37,0:05:39,影片,你們自己去跟你們老闆講
103,0:05:39,0:05:41,影片,不要公親變事主
104,0:05:41,0:05:43,影片,中共飛彈飛越台灣領空後
105,0:05:43,0:05:45,影片,可以說這是太空
106,0:05:45,0:05:47,影片,不是領空
107,0:05:47,0:05:49,影片,因為他不用理會人民的聲音啊
108,0:05:49,0:05:51,影片,行政院長可以對立委
109,0:05:51,0:05:53,影片,大聲咆哮
110,0:05:53,0:05:54,影片,叫什麼叫
111,0:05:54,0:05:57,影片,數發部破壞文官制度
112,0:05:57,0:05:59,影片,規避公務員任用標準
113,0:05:59,0:06:02,影片,超過半數擁約聘制
114,0:06:02,0:06:05,影片,三立控制了中嘉股權
115,0:06:05,0:06:08,影片,NCC可以擺爛裝死
116,0:06:08,0:06:09,影片,因為他們知道
117,0:06:09,0:06:12,影片,立法院根本沒有制衡能力
118,0:06:12,0:06:14,影片,總統表妹接掌國營企業
119,0:06:14,0:06:16,影片,新潮流大佬將國營企業
120,0:06:16,0:06:18,影片,納成自己的提款機
121,0:06:18,0:06:21,影片,挪用八千萬足協預算
122,0:06:21,0:06:22,影片,不受制衡
123,0:06:22,0:06:25,影片,因為他們知道自己是皇親國戚啊
124,0:06:25,0:06:26,影片,質疑總統論文
125,0:06:26,0:06:29,影片,還會遭到司法追殺
126,0:06:29,0:06:31,影片,但只要碰到民進黨的弊案
127,0:06:31,0:06:34,影片,司法就會默不作聲
128,0:06:34,0:06:36,影片,在弊病叢生的台灣
129,0:06:36,0:06:40,影片,總統的影響力已經無遠弗屆
130,0:06:40,0:06:44,影片,那有比總統制更好的制度嗎
131,0:06:44,0:06:44,影片,有
132,0:06:44,0:06:45,影片,內閣制
133,0:06:45,0:06:47,影片,比總統制更好
134,0:06:47,0:06:49,影片,根據林濁水先生研究
135,0:06:49,0:06:51,影片,世界銀行近幾年
136,0:06:51,0:06:53,影片,對世界各國的政治穩定
137,0:06:53,0:06:54,影片,政府效能
138,0:06:54,0:06:56,影片,貪污控制
139,0:06:56,0:06:57,影片,做了評鑑
140,0:06:57,0:06:58,影片,我們將發現
141,0:06:58,0:07:01,影片,準內閣制和內閣制的成績
142,0:07:01,0:07:03,影片,全都最好
143,0:07:03,0:07:05,影片,總統制非常差
144,0:07:05,0:07:07,影片,政治穩定一項
145,0:07:07,0:07:09,影片,只有智利一國入榜
146,0:07:09,0:07:12,影片,政府效能只有美國入榜
147,0:07:12,0:07:15,影片,而且都在10%中的末端
148,0:07:15,0:07:18,影片,而貪污控制的項目中
149,0:07:18,0:07:20,影片,總統制居然掛零
150,0:07:20,0:07:22,影片,至於和我國一樣的
151,0:07:22,0:07:24,影片,半總統 總統優越制
152,0:07:24,0:07:26,影片,在三項評價中
153,0:07:26,0:07:28,影片,居然沒有一樣入榜
154,0:07:28,0:07:30,影片,慘不忍睹
155,0:07:30,0:07:33,影片,內閣制真的比總統制好嗎
156,0:07:33,0:07:37,影片,甚至民進黨在2014年做過調查
157,0:07:37,0:07:40,影片,超過六成的民眾支持內閣制
158,0:07:40,0:07:43,影片,台灣民主化後的歷任總統
159,0:07:43,0:07:44,影片,李登輝
160,0:07:44,0:07:45,影片,陳水扁
161,0:07:45,0:07:47,影片,馬英九
162,0:07:47,0:07:48,影片,蔡英文
163,0:07:48,0:07:52,影片,都曾主張過內閣制優於台灣現在的制度
164,0:07:52,0:07:55,影片,只是他們沒有在任內推動過
165,0:07:55,0:07:56,影片,內閣制這麼好
166,0:07:56,0:07:59,影片,為何未竟全功呢
167,0:07:59,0:08:02,影片,就是因為總統制一人說的算
168,0:08:02,0:08:04,影片,沒有一個掌握權力的總統
169,0:08:04,0:08:08,影片,願意推動一個制衡自己權力的內閣制
170,0:08:08,0:08:11,影片,就算內閣制對全民更有利
171,0:08:11,0:08:12,影片,分裂對立的現在
172,0:08:12,0:08:15,影片,內閣制比威權總統制更好
173,0:08:15,0:08:18,影片,台灣在藍綠長期把持數十年
174,0:08:18,0:08:22,影片,或許可以說大家對於政治的關注度更高
175,0:08:22,0:08:25,影片,對於意見表達更百花齊放
176,0:08:25,0:08:28,影片,但我們也得面對民眾變得更為分裂
177,0:08:28,0:08:30,影片,互相不信任的事實
178,0:08:30,0:08:34,影片,因此可以兼容並蓄各種聲音的內閣制
179,0:08:34,0:08:36,影片,或許比贏者全拿
180,0:08:36,0:08:39,影片,只憑總統一人意志的制度
181,0:08:39,0:08:41,影片,更適合現在的台灣
182,0:08:41,0:08:42,影片,AI元宇宙的未來
183,0:08:42,0:08:47,影片,更需要用內閣制來制衡獨裁者
184,0:08:47,0:08:49,影片,未來的世界是AI
185,0:08:49,0:08:50,影片,元宇宙
186,0:08:50,0:08:52,影片,網路社群所主導的
187,0:08:52,0:08:54,影片,要維護聲音的多元性
188,0:08:54,0:08:56,影片,面對大量的不確定性
189,0:08:56,0:08:58,影片,必須透過制度
190,0:08:58,0:08:59,影片,制衡威權總統制
191,0:08:59,0:09:03,影片,所可能創造出來的獨裁者染指一切
192,0:09:03,0:09:07,影片,內閣制就是台灣未來的解方
193,0:09:07,0:09:09,影片,分裂的時代更需要制衡
194,0:09:09,0:09:12,影片,用制度制衡權力
195,0:09:12,0:09:14,影片,內閣制把國家還給你
196,0:09:17,0:09:18,影片,關注度更高
197,0:09:18,0:09:21,影片,對於意見表達更百花齊放
198,0:09:21,0:09:24,影片,但我們也得面對民眾變得更為分裂
199,0:09:24,0:09:26,影片,互相不信任的事實
200,0:09:26,0:09:30,影片,因此可以兼容並蓄各種聲音的內閣制
201,0:09:30,0:09:33,影片,或許比贏者全拿
202,0:09:33,0:09:35,影片,只憑總統一人意志的制度
203,0:09:35,0:09:37,影片,更適合現在的台灣
204,0:09:37,0:09:39,影片,AI元宇宙的未來
205,0:09:39,0:09:43,影片,更需要用內閣制來制衡獨裁者
206,0:09:43,0:09:48,影片,未來的世界是AI 元宇宙 網路社群所主導的
207,0:09:48,0:09:53,影片,要維護聲音的多元性 面對大量的不確定性
