segment,from,to,text
1,00:00:00.000,00:00:02.000,(音樂)
2,00:00:02.000,00:00:04.000,一起來
3,00:00:04.000,00:00:30.000,(音樂)
4,00:00:30.000,00:00:34.000,我看我等一下是用現的比較安全
5,00:00:34.000,00:00:38.000,做事不冒險
6,00:00:38.000,00:00:41.000,好 各位媒體朋友們大家早安大家好
7,00:00:41.000,00:00:44.000,也非常歡迎各位收看直播的朋友們
8,00:00:44.000,00:00:46.000,跟我們一起在線上來關心
9,00:00:46.000,00:00:49.000,台灣民眾黨總統候選人柯文哲
10,00:00:49.000,00:00:52.000,他所提出來的醫療政策
11,00:00:52.000,00:00:54.000,那麼今天他會非常具體的
12,00:00:54.000,00:00:57.000,來向大家報告他的醫療的藍圖
13,00:00:57.000,00:01:00.000,首先我們要先向大家介紹今天
14,00:01:00.000,00:01:03.000,參與我們記者會的幾位貴賓
15,00:01:03.000,00:01:06.000,首先讓我來介紹台大醫學院教授
16,00:01:06.000,00:01:09.000,也是前恩主公院長陳榮基教授
17,00:01:09.000,00:01:13.000,歡迎陳教授
18,00:01:13.000,00:01:17.000,好 接下來讓我介紹的是陽明交通大學
19,00:01:17.000,00:01:20.000,陽明交通大學的教授
20,00:01:20.000,00:01:22.000,同時他也是藥學會理事長
21,00:01:22.000,00:01:25.000,同時他也是前食藥署署長
22,00:01:25.000,00:01:28.000,康兆周康教授
23,00:01:28.000,00:01:30.000,好 康教授今天是以學者身份
24,00:01:30.000,00:01:32.000,來參與我們的記者會
25,00:01:32.000,00:01:34.000,他也非常關心我們的政策內容
26,00:01:34.000,00:01:37.000,稍後他也會跟我們分享一下他的心得
27,00:01:37.000,00:01:40.000,那麼接下來讓我介紹的是台大名譽教授
28,00:01:40.000,00:01:45.000,也是乳癌防治基金會董事長張金堅教授
29,00:01:45.000,00:01:46.000,好 謝謝張教授
30,00:01:46.000,00:01:49.000,也非常感謝幾位貴賓的蒞臨
31,00:01:49.000,00:01:51.000,那麼在最右手邊的是
32,00:01:51.000,00:01:55.000,柯文哲競選辦公室的總幹事黃珊珊
33,00:01:55.000,00:01:57.000,黃珊珊總幹事
34,00:01:57.000,00:01:59.000,好 我想大家都非常期待
35,00:01:59.000,00:02:01.000,到底要怎麼樣醫病醫人
36,00:02:01.000,00:02:04.000,那麼台灣的健保制度到底出了什麼問題
37,00:02:04.000,00:02:07.000,要怎麼樣的全齡照顧全方面的照顧
38,00:02:07.000,00:02:09.000,接下來就讓我把時間交給
39,00:02:09.000,00:02:12.000,台灣民眾黨的總統候選人柯文哲
40,00:02:12.000,00:02:16.000,來向大家報告他的藍圖的播話
41,00:02:19.000,00:02:21.000,控制器
42,00:02:21.000,00:02:31.000,好 這個是自己比較熟悉的題目
43,00:02:31.000,00:02:34.000,第一點我們健保實施20幾年來
44,00:02:34.000,00:02:37.000,民眾滿意度非常高 90%
45,00:02:37.000,00:02:39.000,可是如果你去問醫護人員
46,00:02:39.000,00:02:41.000,滿意度就剩下30%
47,00:02:41.000,00:02:43.000,所以表示說我們目前的健保制度
48,00:02:43.000,00:02:48.000,在一個程度上是犧牲醫護人員去建構出來的
49,00:02:48.000,00:02:51.000,那事實上的真相又是什麼
50,00:02:51.000,00:02:53.000,表面上民眾滿意度90%
51,00:02:53.000,00:02:56.000,但是如果你回到實質的這種成績
52,00:02:56.000,00:02:58.000,我們看看第一個
53,00:02:58.000,00:03:01.000,我們不要去拿其他國家比較
54,00:03:01.000,00:03:03.000,我們拿我們旁邊的日本跟韓國
55,00:03:03.000,00:03:08.000,其實我們的平均壽命還是比韓國日本差
56,00:03:08.000,00:03:13.000,特別在你看COVID-19這一年掉了更多
57,00:03:13.000,00:03:17.000,新生兒死亡率也是創下了這個
58,00:03:17.000,00:03:19.000,6年來新高
