segment,from,to,Speaker,text
1,0:00:00,0:00:02,主持人,今天端出了十全大補湯
2,0:00:02,0:00:06,主持人,要讓國家來當新手爸媽的神隊友
3,0:00:06,0:00:09,主持人,來打造一個友善生養的環境
4,0:00:09,0:00:11,主持人,首先先讓我來介紹一下今天的貴賓
5,0:00:11,0:00:15,主持人,介紹的是民眾黨總統參選人柯文哲
6,0:00:15,0:00:20,主持人,好 接下來介紹的是台灣民眾黨秘書長
7,0:00:20,0:00:23,主持人,周台竹秘書長
8,0:00:23,0:00:27,主持人,歡迎柯文哲競選總幹事黃珊珊
9,0:00:29,0:00:32,主持人,以及我們新故鄉智庫的蘇進強執行長
10,0:00:32,0:00:38,主持人,最後讓我們來介紹的是民眾黨的立委參選人
11,0:00:38,0:00:41,主持人,五股蘆洲三重的參選人李有宜
12,0:00:41,0:00:42,主持人,歡迎有宜
13,0:00:42,0:00:48,主持人,好 我想少子化的危機現在真的是刻不容緩
14,0:00:48,0:00:51,主持人,少子化已經成為了國安的危機
15,0:00:51,0:00:52,主持人,從2020年開始
16,0:00:52,0:00:56,主持人,台灣的人口已經連續三年進入死亡交叉
17,0:00:56,0:00:59,主持人,已經進入了生不如死的狀況
18,0:00:59,0:01:02,主持人,而且台灣去年的生育率只有高於南韓
19,0:01:02,0:01:05,主持人,是全世界倒數第二
20,0:01:05,0:01:08,主持人,到底我們要如何來搶救這樣子的少子化危機
21,0:01:08,0:01:11,主持人,還有挽救我們的國安危機
22,0:01:11,0:01:14,主持人,馬上我們就有請台灣民眾黨的總統參選人柯文哲
23,0:01:14,0:01:17,主持人,來上台來為他為我們大家宣布
24,0:01:17,0:01:20,主持人,柯文哲搶救少子化十全大補湯
25,0:01:20,0:01:25,柯文哲,黃珊珊*
26,0:01:26,0:01:28,柯文哲,簡報筆
27,0:01:28,0:01:36,柯文哲,好 這個是一個
28,0:01:36,0:01:40,柯文哲,已經算是大家都知道
29,0:01:53,0:01:56,柯文哲,好 這是一個大家都知道的題目
30,0:01:56,0:01:58,柯文哲,只是說解方
31,0:01:58,0:02:00,柯文哲,不過在講解方之前
32,0:02:00,0:02:04,柯文哲,還是把這個問題做一個比較詳細的分析
33,0:02:04,0:02:08,柯文哲,也許你們也會提出其他更好的解方
34,0:02:08,0:02:12,柯文哲,第一個 少子化一定缺工
35,0:02:12,0:02:14,柯文哲,反正勞動力不足
36,0:02:14,0:02:16,柯文哲,學校關門
37,0:02:16,0:02:19,柯文哲,這個估計的 未來十年有四十家大學要關門
38,0:02:19,0:02:22,柯文哲,這絕對不是那個社區大學學生每一個補助
39,0:02:22,0:02:25,柯文哲,一年三萬五千塊可以解決的
40,0:02:25,0:02:28,柯文哲,因為他是少子化要關門
41,0:02:28,0:02:30,柯文哲,然後產業失衡
42,0:02:30,0:02:33,柯文哲,這個有到中南部去走就知道
43,0:02:33,0:02:36,柯文哲,我們整個傳統產業幾乎都缺工
44,0:02:36,0:02:40,柯文哲,目前我們的外勞政策也不是非常明顯
45,0:02:40,0:02:43,柯文哲,所以這些都是問題
46,0:02:43,0:02:48,柯文哲,那2020年其實在那一年開始
47,0:02:48,0:02:50,柯文哲,台灣就生不如死了
48,0:02:50,0:02:56,柯文哲,只是2020年因為從香港大概有九千多人移居台灣
49,0:02:56,0:03:00,柯文哲,所以如果因為有加上那個移民
50,0:03:00,0:03:03,柯文哲,所以那一年人數還沒有下降
51,0:03:03,0:03:05,柯文哲,不過過了2020年以後
52,0:03:05,0:03:09,柯文哲,從2021開始即使加上移民的人數
53,0:03:09,0:03:11,柯文哲,台灣的總人數還是下降
54,0:03:11,0:03:13,柯文哲,所以結論是這樣
55,0:03:13,0:03:16,柯文哲,2020年那一年開始台灣就生不如死了
56,0:03:16,0:03:19,柯文哲,然後從2020年那一年是因為
57,0:03:19,0:03:20,柯文哲,有加上移民的人數
58,0:03:20,0:03:24,柯文哲,所以台灣人口的數目達到歷史上的高峰
59,0:03:24,0:03:27,柯文哲,從2020年開始就一直往下
60,0:03:27,0:03:28,柯文哲,這當然是這樣
61,0:03:28,0:03:31,柯文哲,所以出生率高低有不同的估計
62,0:03:31,0:03:35,柯文哲,如果說出生率還是很低的話
63,0:03:35,0:03:39,柯文哲,到2070年大概就1502萬
64,0:03:39,0:03:42,柯文哲,台灣人口就自動減了快一半掉
65,0:03:42,0:03:47,柯文哲,那我們的出生數也是一度下降
66,0:03:47,0:03:50,柯文哲,目前全世界出生出生率
67,0:03:50,0:03:52,柯文哲,比台灣更低的是南韓
68,0:03:52,0:03:54,柯文哲,我們在倒數第二
69,0:03:54,0:03:56,柯文哲,那你看看喔
70,0:03:56,0:04:01,柯文哲,這個去年出生是13萬還不到14萬
71,0:04:01,0:04:06,柯文哲,所以昨天我去那個高雄大學去演講
72,0:04:06,0:04:09,柯文哲,我說如果一年出生14萬
73,0:04:09,0:04:11,柯文哲,那如果女生又不當兵
74,0:04:11,0:04:13,柯文哲,那疫情是一年
75,0:04:13,0:04:16,柯文哲,其實台灣的總病例就是7萬
76,0:04:16,0:04:17,柯文哲,所以這個就是問題
77,0:04:17,0:04:20,柯文哲,這演算的問題就相當多
78,0:04:20,0:04:22,柯文哲,那估計按照這個速度繼續下降
