segment,from,to,speaker,text
1,0:00:00,0:00:23,,(音樂)
2,0:00:23,0:00:24,主持人,各位媒體朋友
3,0:00:24,0:00:26,主持人,各位正在收看直播的朋友們
4,0:00:26,0:00:28,主持人,大家好 大家早安
5,0:00:28,0:00:30,主持人,今天我們召開的交通記者會
6,0:00:30,0:00:33,主持人,有非常多的內容要來跟大家報告
7,0:00:33,0:00:36,主持人,首先 台灣的交通狀況非常的混亂
8,0:00:36,0:00:39,主持人,美國媒體CNN甚至曾經以Living Hell
9,0:00:39,0:00:42,主持人,也就是行人地獄來形容台灣的交通亂象
10,0:00:42,0:00:46,主持人,那光是在2022年因為交通事故死亡
11,0:00:46,0:00:48,主持人,就有超過三千人
12,0:00:48,0:00:51,主持人,交通建設可以說是國家的重大基礎建設
13,0:00:51,0:00:55,主持人,不過民進黨卻是把重大建設當作騙票的工具
14,0:00:55,0:00:58,主持人,民進黨過去喊出了終結延伸到南投
15,0:00:58,0:01:00,主持人,在八年前就喊出來了
16,0:01:00,0:01:02,主持人,2017年又拋出了
17,0:01:02,0:01:05,主持人,基隆輕軌要作為前瞻計畫的第一炮
18,0:01:05,0:01:07,主持人,但現在蓋到哪裡去了
19,0:01:07,0:01:10,主持人,要如何建立一個以人為本服務導向
20,0:01:10,0:01:12,主持人,數據治理的永續運輸
21,0:01:12,0:01:16,主持人,民眾黨總統參選人柯文哲有完整的規劃
22,0:01:16,0:01:19,主持人,首先先來介紹與會的長官貴賓
23,0:01:19,0:01:22,主持人,第一位介紹的是民眾黨的總統參選人柯文哲
24,0:01:22,0:01:29,主持人,柯文哲競選總部的總幹事黃珊珊
25,0:01:29,0:01:34,主持人,以及特別介紹柯文哲競選總部主委鄧家基
26,0:01:34,0:01:40,主持人,再來介紹的是前台北市的交通局長陳學台
27,0:01:40,0:01:46,主持人,以及公民幫推協會常務理事鍾慧諭理事
28,0:01:46,0:01:48,主持人,好的那麼一開始呢
29,0:01:48,0:01:51,主持人,我們就要請柯P來幫我們講他的
30,0:01:51,0:01:56,主持人,以人為本服務導向以及數據治理的永續運輸
31,0:01:56,0:01:58,,(鼓掌)
32,0:01:58,0:02:00,,(鼓掌)
33,0:02:00,0:02:02,,(鼓掌)
34,0:02:02,0:02:31,,(鼓掌)
35,0:02:31,0:02:34,柯文哲,好上課
36,0:02:34,0:02:39,柯文哲,這個我知道其他兩黨現在都忙著在到處造勢
37,0:02:39,0:02:43,柯文哲,不過我們還是要負責任把台灣面對的問題要點出來
38,0:02:43,0:02:47,柯文哲,還有我們提出的一個解決方案
39,0:02:47,0:02:49,柯文哲,當然也不敢說百分之百一定是最好的
40,0:02:49,0:02:52,柯文哲,不過總是政策需要討論
41,0:02:52,0:02:56,柯文哲,這是我們在交通的四個主張
42,0:02:56,0:02:57,柯文哲,以人為本
43,0:02:57,0:03:02,柯文哲,過去我們整個道路的交通設計是以車輛為本
44,0:03:02,0:03:04,柯文哲,很少用人在思考
45,0:03:04,0:03:06,柯文哲,所以為什麼我們變成行人地獄
46,0:03:06,0:03:07,柯文哲,這是第一條
47,0:03:07,0:03:09,柯文哲,第二服務導向
48,0:03:09,0:03:12,柯文哲,有需要才建設交通
49,0:03:12,0:03:17,柯文哲,不是有選票或是為了選舉需要才去建設交通
50,0:03:17,0:03:19,柯文哲,這是目前最大的爭議
51,0:03:19,0:03:22,柯文哲,再來數據治理
