segment,from,to,speaker,text
36,0:02:06,0:02:08,賴香伶,謝謝主席 我們的柯總統
37,0:02:08,0:02:10,賴香伶,還有我們總幹事 珊珊
38,0:02:10,0:02:11,賴香伶,還有我們張教授
39,0:02:11,0:02:13,賴香伶,還有瑞熙 未來的委員
40,0:02:13,0:02:14,賴香伶,各位媒體早安
41,0:02:14,0:02:17,賴香伶,我想我們今天談勞工的政策 勞動的政見
42,0:02:17,0:02:23,賴香伶,確實在現在的過去講全球化的時代裡面
43,0:02:23,0:02:27,賴香伶,臺灣要在各個這個產業的發展上面
44,0:02:27,0:02:31,賴香伶,找到一個立基點是非常的辛苦 倍感艱辛
45,0:02:31,0:02:34,賴香伶,那大家也知道這三十年來的經濟發展
46,0:02:34,0:02:37,賴香伶,當然過去我們還有一些人口紅利
47,0:02:37,0:02:39,賴香伶,然後過去臺灣的廉價勞動力
48,0:02:39,0:02:42,賴香伶,在亞洲成為這個四小龍之首
49,0:02:42,0:02:44,賴香伶,但是時至今日我們也看到
50,0:02:44,0:02:47,賴香伶,我們必須部分的產業的缺工
51,0:02:47,0:02:50,賴香伶,引進了一些移工來代替我們的人力不足
52,0:02:50,0:02:53,賴香伶,可是總體來講 我們面臨的大問題
53,0:02:53,0:02:56,賴香伶,還是跟過去在企業的分潤
54,0:02:56,0:02:58,賴香伶,特別是我們法治面不足
55,0:02:58,0:03:02,賴香伶,造成的勞工權益不夠周延是有關的
56,0:03:02,0:03:05,賴香伶,所以我們看到這七年多來 民進黨政府
57,0:03:05,0:03:09,賴香伶,雖然蔡總統說勞工是他心中最軟的一塊
58,0:03:09,0:03:12,賴香伶,但是我們也發現勞動權益的倒退
59,0:03:12,0:03:15,賴香伶,包括勞動三權的沒有辦法
60,0:03:15,0:03:18,賴香伶,達到大家的期待 是一個非常遺憾的事情
61,0:03:18,0:03:21,賴香伶,那過去我在北市府跟柯p一起打拼
62,0:03:21,0:03:23,賴香伶,我們在勞動的部分
63,0:03:23,0:03:25,賴香伶,做了很多全國創新的事情
64,0:03:25,0:03:28,賴香伶,包括我們的外送人員的自治條例
65,0:03:28,0:03:30,賴香伶,是我們第一個辦 第一個上路
66,0:03:30,0:03:32,賴香伶,可是在立院這四年我看到
67,0:03:32,0:03:35,賴香伶,民進黨政府沒有一個委員
68,0:03:35,0:03:38,賴香伶,願意為這個產業的十萬大軍來立法
69,0:03:38,0:03:40,賴香伶,所以我是最早開公聽會
70,0:03:40,0:03:43,賴香伶,同時提出外送平台要被管理
