segment,from,to,speaker,text
1,0:00:00,0:00:04,主持人,歡迎各位貴賓來參與我們的記者會
2,0:00:04,0:00:05,主持人,還有總幹事
3,0:00:05,0:00:06,主持人,歡迎大家先就座
4,0:00:06,0:00:08,主持人,記者會即將正式的開始
5,0:00:08,0:00:12,主持人,各位貴賓
6,0:00:12,0:00:14,主持人,還有我們的媒體好朋友們
7,0:00:14,0:00:16,主持人,以及收看直播各位觀眾朋友們
8,0:00:16,0:00:17,主持人,大家早安
9,0:00:17,0:00:19,主持人,歡迎來到國家希望工程
10,0:00:19,0:00:21,主持人,國政願景的記者會現場
11,0:00:21,0:00:25,主持人,這是我們這個系列第四次開記者會了
12,0:00:25,0:00:28,主持人,今天的主題是創新經濟智慧國家
13,0:00:28,0:00:31,主持人,主要以創新作為驅動引擎
14,0:00:31,0:00:33,主持人,那麼在記者會的一開始
15,0:00:33,0:00:35,主持人,先為大家來介紹今天與會的貴賓
16,0:00:35,0:00:38,主持人,首先第一位賴清德總統參選人
17,0:00:38,0:00:40,主持人,早安
18,0:00:40,0:00:44,主持人,以及競總的國政召集人
19,0:00:44,0:00:46,主持人,暨青平台的董事長鄭麗君
20,0:00:46,0:00:47,主持人,歡迎麗君召集人
21,0:00:47,0:00:49,主持人,早安
22,0:00:49,0:00:51,主持人,以及第三位是青平台的顧問
23,0:00:51,0:00:52,主持人,朱敬一院士
24,0:00:52,0:00:54,主持人,歡迎朱顧問
25,0:00:54,0:00:55,主持人,早安
26,0:00:55,0:00:56,主持人,以及新興界文教基金會
27,0:00:56,0:00:59,主持人,陳正然董事 董事好
28,0:00:59,0:01:00,主持人,歡迎董事蒞臨
29,0:01:00,0:01:03,主持人,以及台灣大學財政金融系的
30,0:01:03,0:01:04,主持人,石百達教授
31,0:01:04,0:01:06,主持人,教授好
32,0:01:06,0:01:06,主持人,歡迎您
33,0:01:06,0:01:09,主持人,台灣智庫呂曜志執行長
34,0:01:09,0:01:11,主持人,執行長早安
35,0:01:11,0:01:12,主持人,在記者會的一開始
36,0:01:12,0:01:14,主持人,邀請賴副總統為大家介紹
37,0:01:14,0:01:17,主持人,今天主題的國政願景
38,0:01:17,0:01:20,主持人,掌聲歡迎賴清德總統參選人
39,0:01:20,0:01:25,賴清德,好 謝謝
40,0:01:26,0:01:30,賴清德,競選總部國政藍圖召集人
41,0:01:30,0:01:32,賴清德,鄭麗君董事長
42,0:01:32,0:01:35,賴清德,大家所尊敬的朱敬一院士
43,0:01:35,0:01:37,賴清德,陳正然理事長
44,0:01:37,0:01:38,賴清德,石百達教授
45,0:01:38,0:01:39,賴清德,以及呂曜志教授
46,0:01:39,0:01:41,賴清德,在場媒體朋友
47,0:01:41,0:01:45,賴清德,以及線上收聽直播的國人同胞
48,0:01:45,0:01:47,賴清德,大家早安 大家好
49,0:01:47,0:01:49,賴清德,在未來
50,0:01:49,0:01:53,賴清德,我將秉持民進黨清廉勤政
51,0:01:53,0:01:55,賴清德,愛鄉土的精神
52,0:01:55,0:02:01,賴清德,以及愛和平非暴力的創黨價值
53,0:02:01,0:02:04,賴清德,結合台灣社會各界的力量
54,0:02:04,0:02:09,賴清德,用人唯才推動國家希望工程
55,0:02:09,0:02:13,賴清德,打造民主和平的台灣
56,0:02:13,0:02:16,賴清德,創新繁榮的台灣
57,0:02:16,0:02:20,賴清德,以及公益永續的台灣
58,0:02:20,0:02:22,賴清德,在今天的記者會
59,0:02:22,0:02:25,賴清德,我將用創新經濟
60,0:02:25,0:02:30,賴清德,以及智慧國家的理念
61,0:02:30,0:02:37,賴清德,進一步的闡述創新繁榮台灣的內涵
62,0:02:37,0:02:40,賴清德,各位國人同胞
63,0:02:40,0:02:45,賴清德,世界的局勢正在劇烈的變化
64,0:02:45,0:02:47,賴清德,因為疫情的衝擊
65,0:02:47,0:02:51,賴清德,影響了全世界的社會行為
66,0:02:51,0:02:55,賴清德,也影響了經濟跟產業的結構
67,0:02:55,0:02:57,賴清德,地緣政治的變化
68,0:02:57,0:03:00,賴清德,包括中美科技戰
69,0:03:00,0:03:02,賴清德,俄烏戰爭
70,0:03:02,0:03:06,賴清德,以及台海情勢的升高
71,0:03:06,0:03:09,賴清德,都影響了整個國際社會
72,0:03:09,0:03:13,賴清德,另外再加上數位轉型
73,0:03:13,0:03:19,賴清德,以及面臨的2050淨零轉型的挑戰
74,0:03:19,0:03:23,賴清德,整個國際局勢的劇烈變化當中
75,0:03:23,0:03:26,賴清德,台灣受到衝擊受到影響
76,0:03:26,0:03:28,賴清德,自然也不例外
77,0:03:28,0:03:30,賴清德,在這種狀況之下
78,0:03:30,0:03:32,賴清德,我們應該要團結一致
79,0:03:32,0:03:36,賴清德,結合台灣社會各界的力量
80,0:03:36,0:03:41,賴清德,將挑戰化為國家進步的動力
81,0:03:41,0:03:45,賴清德,我今天所提出來的主題
82,0:03:45,0:03:48,賴清德,主要就是創新經濟
83,0:03:48,0:03:51,賴清德,以及智慧國家的理念
84,0:03:51,0:03:53,賴清德,我們都很清楚
85,0:03:53,0:03:57,賴清德,台灣的經濟是所有今天的進展
86,0:03:57,0:03:59,賴清德,我們必須要感謝
87,0:03:59,0:04:02,賴清德,成千上萬的中小企業主
88,0:04:02,0:04:05,賴清德,在過去提著007的手提箱
89,0:04:05,0:04:09,賴清德,到世界各地去爭取訂單
90,0:04:09,0:04:13,賴清德,打造了第一次的經濟奇蹟
91,0:04:13,0:04:15,賴清德,但是我們必須要講
92,0:04:15,0:04:19,賴清德,在智慧化全新的時代
93,0:04:19,0:04:21,賴清德,我們必須要走出過去
94,0:04:21,0:04:27,賴清德,以生產要素為驅動的經濟發展模式
95,0:04:27,0:04:34,賴清德,要改變用創新驅動的經濟發展的方式
96,0:04:34,0:04:40,賴清德,所謂經濟創新驅動的經濟發展模式
97,0:04:40,0:04:44,賴清德,主要有包括四個面向
98,0:04:44,0:04:46,賴清德,第一個是產業創新
99,0:04:46,0:04:49,賴清德,第二個是科技創新
100,0:04:49,0:04:53,賴清德,第三個是金融創新
101,0:04:53,0:04:56,賴清德,第四個面向則是創新創業
102,0:04:56,0:05:00,賴清德,我們要因此達到三個目標
103,0:05:00,0:05:04,賴清德,也就是創新成長的目標
104,0:05:04,0:05:07,賴清德,包容性成長的目標
105,0:05:07,0:05:10,賴清德,以及綠色成長的目標
106,0:05:10,0:05:15,賴清德,以下我將會用七項主張
107,0:05:15,0:05:21,賴清德,來進一步闡述所有的理念跟做法
108,0:05:21,0:05:23,賴清德,第一個主張就是
109,0:05:23,0:05:28,賴清德,提升產業的國際競爭力與韌性
110,0:05:28,0:05:32,賴清德,讓台灣成為經濟的日不落國
111,0:05:32,0:05:38,賴清德,具體的做法包括產業的面向
112,0:05:38,0:05:41,賴清德,我們將持續推動蔡英文總統所提出的
113,0:05:41,0:05:44,賴清德,六大核心戰略產業
114,0:05:44,0:05:47,賴清德,因為這六大核心戰略產業
115,0:05:47,0:05:52,賴清德,都是要因應當前國際的各項挑戰
116,0:05:52,0:05:55,賴清德,所衍生出來的產業發展
117,0:05:55,0:05:58,賴清德,好比在數位化的時代
118,0:05:58,0:06:01,賴清德,我們要去推動
119,0:06:01,0:06:04,賴清德,資訊數位核心戰略產業
120,0:06:04,0:06:10,賴清德,以及資安卓越核心戰略產業
121,0:06:10,0:06:14,賴清德,面對的2050淨零轉型的要求
122,0:06:14,0:06:16,賴清德,我們要去推動
123,0:06:16,0:06:21,賴清德,綠電以及再生能源核心戰略產業
124,0:06:21,0:06:24,賴清德,面對COVID-19的衝擊
125,0:06:24,0:06:28,賴清德,以及未來可能下一波的
126,0:06:28,0:06:30,賴清德,國際性的傳染病
127,0:06:30,0:06:37,賴清德,我們要去推動精準醫療核心戰略產業
128,0:06:37,0:06:40,賴清德,面對地緣政治的衝擊
129,0:06:40,0:06:42,賴清德,極權主義的威脅
130,0:06:42,0:06:45,賴清德,我們必須要去推動
131,0:06:45,0:06:49,賴清德,民生戰備核心戰略產業
132,0:06:49,0:06:56,賴清德,以及國防戰略核心戰略產業
133,0:06:56,0:06:57,賴清德,六項核心戰略產業
134,0:06:57,0:07:00,賴清德,我們必須要持續推動
135,0:07:00,0:07:04,賴清德,另外一點是因為中美貿易衝突
136,0:07:04,0:07:06,賴清德,再加上地緣政治的變化
137,0:07:06,0:07:09,賴清德,中國的供應鏈受到嚴重的衝擊
138,0:07:09,0:07:16,賴清德,也凸顯了台灣產業在全球供應鏈的重要性
139,0:07:16,0:07:20,賴清德,這個是地緣政治的變化
140,0:07:20,0:07:24,賴清德,提供了台灣產業進一步發展的機會
141,0:07:24,0:07:28,賴清德,特別是其中五項信賴產業
142,0:07:28,0:07:31,賴清德,第一個就是半導體產業
143,0:07:31,0:07:36,賴清德,第二個就是人工智慧產業
144,0:07:36,0:07:40,賴清德,第三個就是國防產業
145,0:07:40,0:07:46,賴清德,第四個是軍工產業以及監控產業
146,0:07:46,0:07:50,賴清德,第五個產業就是資通訊
147,0:07:50,0:07:53,賴清德,特別是低軌衛星產業等等
148,0:07:53,0:07:58,賴清德,這個都是未來台灣在地緣政治變化當中
149,0:07:58,0:08:01,賴清德,我們要持續去加強
150,0:08:01,0:08:03,賴清德,至於在布局方面
151,0:08:03,0:08:09,賴清德,我們一定要讓台灣的企業能夠立足台灣
152,0:08:09,0:08:13,賴清德,除了我們要持續去檢討台灣的投資環境
153,0:08:13,0:08:18,賴清德,包括水電土地人力人才等等的
154,0:08:18,0:08:21,賴清德,問題要持續檢討改善之外
155,0:08:21,0:08:24,賴清德,我們也要持續去落實
156,0:08:24,0:08:27,賴清德,之前我在行政院裡面所推動的
