segment,from,to,text
1,00:00:00.000,00:00:11.960,各位貴賓 各位觀眾朋友
2,00:00:11.960,00:00:17.240,歡迎回到二零二四總統候選人辯論會的現場
3,00:00:17.240,00:00:19.720,這場辯論會的共同主辦單位
4,00:00:19.720,00:00:24.960,包括中央社 中國時報 自由時報 聯合報
5,00:00:24.960,00:00:30.840,三立 台視 民視 華視 靜電視
6,00:00:30.840,00:00:34.840,TVBS以及公視11個媒體
7,00:00:34.840,00:00:38.120,我們現在就要進入第三個階段
8,00:00:38.120,00:00:42.000,也就是候選人交互結問的階段
9,00:00:42.000,00:00:47.400,在這個階段 每位候選人有三次提問的機會
10,00:00:47.400,00:00:50.680,每次提問時間一分鐘
11,00:00:50.680,00:00:54.280,另外兩位候選人分別做出答覆
12,00:00:54.280,00:00:57.360,回應的時間是兩分鐘
13,00:00:57.360,00:01:01.360,依照先前的決定 第三階段
14,00:01:01.360,00:01:04.840,我們首先要請賴清德先生提問
15,00:01:04.840,00:01:07.880,時間一分鐘 請提問
16,00:01:07.880,00:01:10.960,侯市長 您以主張九二共識
17,00:01:10.960,00:01:14.200,柯主席接受兩岸一家親
18,00:01:14.200,00:01:16.280,都是一個中國原則
19,00:01:16.280,00:01:18.600,我第一個問題要請教兩位
20,00:01:18.600,00:01:21.560,中華民國和中華人民共和國
21,00:01:21.560,00:01:23.880,有沒有互相隸屬
22,00:01:23.880,00:01:26.680,第二個問題我要請教
23,00:01:26.680,00:01:30.120,要消滅中華民國的是民進黨
24,00:01:30.120,00:01:32.240,還是共產黨
25,00:01:32.240,00:01:33.280,如果是民進黨的話
26,00:01:33.280,00:01:37.080,為什麼民進黨已經兩次執政的中華民國依舊在
27,00:01:37.080,00:01:38.600,如果是共產黨的話
28,00:01:38.600,00:01:42.560,為什麼你們要去接受一個中國原則的九二共識
29,00:01:42.560,00:01:45.320,或者是兩岸一家親
30,00:01:45.320,00:01:47.840,第三個問題要請教
31,00:01:47.840,00:01:51.800,你們都主張內閣制 聯合政府
32,00:01:51.800,00:01:55.160,當然南白河大家已經看到了各種丑相
33,00:01:55.160,00:01:58.000,那內閣制國家是虛位元首
34,00:01:58.000,00:01:59.440,我要請問你們
35,00:01:59.440,00:02:03.000,你們是不是主張要取消總統職權
36,00:02:03.000,00:02:06.600,或者是要把總統虛位化
37,00:02:06.600,00:02:10.960,這樣對臺灣面對中國的威脅是好的嗎
38,00:02:10.960,00:02:14.520,請侯友宜先生回答 時間兩分鐘
39,00:02:14.520,00:02:18.360,請回答 剛剛有談到九二共識
40,00:02:18.360,00:02:22.200,真的 奈先生 真的你真的聽不懂
41,00:02:22.200,00:02:24.960,我剛剛講的九二共識
42,00:02:24.960,00:02:26.880,不是你講的那個方式
43,00:02:26.880,00:02:31.200,是你們污名化把九二共識變成一國兩制
44,00:02:31.200,00:02:34.320,這是你們一而再再三的洗腦
