segment,from,to,text
1,00:00:00.000,00:00:01.840,總統蔡英文就職8年
2,00:00:01.840,00:00:05.600,不斷對外宣稱是最重視性別平權的政府
3,00:00:05.600,00:00:07.880,雖然在同志權益保障的部分
4,00:00:07.880,00:00:09.240,值得給予肯定
5,00:00:09.240,00:00:11.840,但對於婦女在職場權益的保障
6,00:00:11.840,00:00:13.800,以及任用女性格源比例
7,00:00:13.800,00:00:16.120,好像仍有改善空間
8,00:00:16.120,00:00:18.720,究竟民眾怎麼看性別平權議題
9,00:00:18.720,00:00:21.360,以及理想中的婦女就業環境
10,00:00:21.360,00:00:23.400,應該是什麼樣
11,00:00:28.320,00:00:30.320,請問你目前有打算生小孩嗎
12,00:00:30.320,00:00:33.920,暫時沒有
13,00:00:33.920,00:00:34.600,沒有
14,00:00:34.600,00:00:35.280,沒錢
15,00:00:35.280,00:00:36.840,養小孩很貴啊
16,00:00:36.840,00:00:39.760,很多人不生小孩應該是有它的原因吧
17,00:00:39.760,00:00:42.040,選擇做全職婦女的話
18,00:00:42.040,00:00:44.120,薪水就不是很足夠啦
19,00:00:44.120,00:00:45.920,就是薪資上的差別
20,00:00:45.920,00:00:47.240,他們一離開職場的話
21,00:00:47.240,00:00:50.120,就得要重新再尋找下一份工作
22,00:00:50.120,00:00:51.720,有認識的人有重要
23,00:00:51.720,00:00:53.320,有耶 我其實有想過
24,00:00:57.120,00:00:58.680,因為我認識很多企業家
25,00:00:58.680,00:01:00.320,他就是直接不請女生
26,00:01:00.320,00:01:02.800,因為他知道你有可能會結婚生小孩
27,00:01:02.800,00:01:04.840,然後就突然說你沒辦法工作
28,00:01:04.840,00:01:07.160,所以他寧可就是從一開始就請男生
29,00:01:07.160,00:01:08.280,就是隱藏的啦
30,00:01:08.280,00:01:09.880,隱藏在這個社會裡面
31,00:01:09.880,00:01:11.480,只是大家都沒有講出來而已
32,00:01:11.480,00:01:13.920,就算有小孩我還是會想要工作
33,00:01:13.920,00:01:16.200,我如果去生了小孩回來
34,00:01:16.200,00:01:18.040,一定就沒有我的位子了
35,00:01:18.040,00:01:20.320,就是薪資上的差別
36,00:01:20.320,00:01:22.280,就是沒有同工同收
37,00:01:22.280,00:01:23.560,有朋友有遇到過
38,00:01:23.560,00:01:24.920,體制還是不是那麼完善
39,00:01:24.920,00:01:28.000,像是什麼育嬰假 然後產假
40,00:01:28.000,00:01:30.040,那些對女性可能不是那麼的友善
41,00:01:30.040,00:01:32.440,然後加上可能是因為壓力的關係
42,00:01:32.440,00:01:35.040,會讓女性可能不敢去請那個假
43,00:01:35.040,00:01:36.680,因為我也有聽說過
44,00:01:36.680,00:01:38.040,一些比如說他生孩子
45,00:01:38.040,00:01:39.480,他就被調薪啊
46,00:01:39.480,00:01:40.240,或者是降職
47,00:01:40.240,00:01:42.520,甚至有點半離職的狀態
48,00:01:42.520,00:01:45.600,很多女生他可能會為了家庭
49,00:01:45.600,00:01:47.840,他可能就要放棄自己人生的理想
50,00:01:47.840,00:01:50.360,往往女生要付出的方向有對我們很大
51,00:01:50.360,00:01:51.400,所以蠻辛苦的
52,00:01:51.400,00:01:53.160,當然如果站在女生的角度的話
53,00:01:53.160,00:01:55.040,因為是希望會有
54,00:01:55.040,00:01:58.080,就是更多的政策來保障女性
55,00:01:58.080,00:02:01.440,動軟補助跟全新產假
56,00:02:01.440,00:02:02.640,動軟應該是不錯啦
57,00:02:02.640,00:02:04.200,尤其因為像是現在
58,00:02:04.200,00:02:06.560,有關於科技或是生物化之類的東西
59,00:02:06.560,00:02:08.160,可能那個費用都蠻挺高的
60,00:02:08.160,00:02:11.520,那我覺得如果政府能提供部分補助的話
61,00:02:11.520,00:02:14.880,對於女性來說也是好的選擇
62,00:02:14.880,00:02:16.240,其實台灣的產假
63,00:02:16.240,00:02:17.320,你知道有幾天嗎
64,00:02:17.320,00:02:18.200,我不知道
65,00:02:18.200,00:02:19.960,其實大概只有八周
66,00:02:19.960,00:02:22.400,也就是56天而已
67,00:02:22.400,00:02:24.720,那你覺得產假是夠的嗎
68,00:02:24.720,00:02:26.080,當然不夠
69,00:02:26.080,00:02:28.320,那你覺得合理的產假應該要多長
70,00:02:28.320,00:02:30.200,我覺得三個月
71,00:02:30.200,00:02:32.720,我覺得可能要到四個月
72,00:02:32.720,00:02:34.440,生育前的一個月
73,00:02:34.440,00:02:36.120,跟生育後的三個月
74,00:02:36.120,00:02:39.080,三個月可能是分別要調養自己的身體
75,00:02:39.080,00:02:40.920,然後一方面也要去照顧小孩子
76,00:02:40.920,00:02:43.160,跟小孩子培養感情等等的
77,00:02:43.160,00:02:45.520,請男生不用有產假的支出
78,00:02:45.520,00:02:46.320,請女生有
79,00:02:46.320,00:02:49.080,那以後我是老闆我就不要用女生啦
80,00:02:49.080,00:02:50.680,我覺得應該要贈福支付
81,00:02:50.680,00:02:52.600,不然這件事情沒辦法解決
82,00:02:52.600,00:02:54.160,反而沒有幫助到女生
83,00:02:54.160,00:02:57.760,反而讓她們更少得到工作的機會
84,00:02:57.760,00:03:00.800,周邊有朋友就是有考慮過凍卵這件事嗎
85,00:03:00.800,00:03:01.360,有
86,00:03:01.360,00:03:02.240,坦白講
87,00:03:02.240,00:03:03.720,就是經濟能力都相較比較好
88,00:03:03.720,00:03:04.400,這一定的
89,00:03:04.400,00:03:07.400,因為凍卵的費用畢竟比較高嘛
90,00:03:07.400,00:03:10.880,那你是贊同說政府推凍卵補助這件事嗎
91,00:03:10.880,00:03:11.720,我認同啊
92,00:03:11.720,00:03:14.280,我們先不要說可能真的結婚或怎麼樣
93,00:03:14.280,00:03:15.960,但是普遍晚生嘛
94,00:03:15.960,00:03:17.920,晚生的話我覺得凍卵的話
95,00:03:17.920,00:03:20.440,對女性或者是她將來的另一半
96,00:03:20.440,00:03:22.960,可能都會有一定程度的幫助啦
97,00:03:22.960,00:03:25.040,如果政府有凍卵的補助
98,00:03:25.040,00:03:28.960,會不會在台灣就是生育率會上升
99,00:03:28.960,00:03:31.080,我覺得蠻有可能會上升的
100,00:03:31.080,00:03:32.600,好像是需要
101,00:03:32.600,00:03:34.280,因為有錢的人他可以凍卵
102,00:03:34.280,00:03:36.320,但如果經營條件不是這麼好
103,00:03:36.320,00:03:40.000,又沒有辦法在適當的年齡生小孩結婚的話
104,00:03:40.000,00:03:41.960,沒有辦法有那個經濟去動的
105,00:03:41.960,00:03:44.440,被迫選擇不能生小孩這件事
106,00:03:44.440,00:03:46.080,有耶我其實有想過
107,00:03:46.080,00:03:48.680,因為我覺得現在凍卵其實也蠻多人在做的
108,00:03:48.680,00:03:50.120,然後也算是一種
109,00:03:50.120,00:03:51.520,對女生的保障嘛
110,00:03:51.520,00:03:54.960,就是如果你未來想要再生小孩的話
111,00:03:54.960,00:03:56.240,我自己是有想過
112,00:03:56.240,00:04:03.360,政治一定有風險
113,00:04:03.360,00:04:05.560,支持候選人有賺有賠
114,00:04:05.560,00:04:09.400,投票之前請祥悅公開說明書
115,00:04:09.400,00:04:10.520,大家好
116,00:04:10.520,00:04:11.640,我是賴佩霞
117,00:04:11.640,00:04:13.760,很多人是第一次認識我
118,00:04:13.760,00:04:16.840,所以在這裡我要特別跟大家介紹
119,00:04:16.840,00:04:19.400,我不僅是大家認識的林月珍
120,00:04:19.400,00:04:21.600,也是副總統參選人
121,00:04:21.600,00:04:23.960,郭台銘的參選搭檔
122,00:04:23.960,00:04:25.080,作為參選人
123,00:04:25.080,00:04:27.080,要跟大家分享的第一個議題
124,00:04:27.080,00:04:29.040,就是性別平權
125,00:04:29.040,00:04:31.520,我長期在職場上觀察
126,00:04:31.520,00:04:34.080,發現台灣女性的勞工
127,00:04:34.080,00:04:36.760,常常會遇到薪資不平等
128,00:04:36.760,00:04:40.480,也因為長期要照顧子女跟長輩們
129,00:04:40.480,00:04:43.160,而被迫要離開勞動市場
130,00:04:43.160,00:04:44.800,在未婚之前
131,00:04:44.800,00:04:48.160,台灣女性的工作比例跟男性不相上下
132,00:04:48.160,00:04:51.360,但是在過了30歲之後
133,00:04:51.360,00:04:53.240,卻快速下滑
134,00:04:53.240,00:04:55.000,結婚生小孩
135,00:04:55.000,00:04:56.280,教小孩
136,00:04:56.280,00:04:57.160,照顧長輩
137,00:04:57.160,00:04:59.920,的這些傳統社會的責任
138,00:04:59.920,00:05:03.320,仍然緊緊的附加在女性的身上
139,00:05:03.320,00:05:05.880,所以在職場上
140,00:05:05.880,00:05:09.200,我們更需要透過制度的設計
141,00:05:09.200,00:05:11.760,來讓無論是男性女性
142,00:05:11.760,00:05:15.760,都能夠擁有更多元的人生選擇權
143,00:05:15.760,00:05:18.640,這樣才能真正的讓台灣
144,00:05:18.640,00:05:21.640,成為性別平權的理想國度
145,00:05:21.640,00:05:29.880,目前台灣的帶薪產假只有8週
146,00:05:29.880,00:05:31.000,也就是說
147,00:05:31.000,00:05:32.960,當你生完小孩之後
148,00:05:32.960,00:05:34.720,只有兩個月的時間
149,00:05:34.720,00:05:38.480,能夠讓媽媽可以安心待在家裡照顧孩子
150,00:05:38.480,00:05:40.360,以及調養自己的身體
151,00:05:40.360,00:05:43.400,這個制度其實是遠低於
152,00:05:43.400,00:05:45.800,世界先進國家的水準
153,00:05:45.800,00:05:48.440,儘管勞動部門他們總是說
154,00:05:48.440,00:05:52.560,台灣有留職停薪的津貼制度
155,00:05:52.560,00:05:56.240,可以來彌補產假上的不足
156,00:05:56.240,00:05:58.440,卻忘記了在職場上
157,00:05:58.440,00:06:01.520,我們常見的懷孕歧視
158,00:06:01.520,00:06:05.560,以及女性因為擔心影響工作的升遷
159,00:06:05.560,00:06:09.680,而不願意申請育嬰留職停薪
160,00:06:09.680,00:06:13.840,甚至於就會直接放棄生小孩的計劃
161,00:06:13.840,00:06:16.640,所以我們主張要將100%
162,00:06:16.640,00:06:19.840,帶薪產假延長為14個禮拜
163,00:06:19.840,00:06:22.080,也就是三個半月
164,00:06:22.080,00:06:25.320,透過政府的補助來降低企業負擔
165,00:06:25.320,00:06:28.680,達到產假薪資公共化的目標
166,00:06:28.680,00:06:33.880,以消除這些在社會上屢見不鮮的懷孕歧視
167,00:06:33.880,00:06:37.600,要讓我們國家來減低生育的負擔
168,00:06:37.600,00:06:41.360,讓養育子女成為家庭、企業
169,00:06:41.360,00:06:43.680,以及國家的共同責任
170,00:06:43.680,00:06:46.640,女性不需要面對孩子一出生
171,00:06:46.640,00:06:48.440,不到兩個月的時間
172,00:06:48.440,00:06:52.280,就要被迫選擇留職停薪
173,00:06:52.280,00:06:56.600,或是要將嬰兒送去托育的機構
174,00:06:56.600,00:06:58.040,同時我們都知道
175,00:06:58.040,00:07:00.760,懷孕期間以及產後的憂鬱症
176,00:07:00.760,00:07:03.160,一直都是一個重要的問題
177,00:07:03.160,00:07:05.000,很多的調查顯示
178,00:07:05.000,00:07:10.280,有高達10%到20%以上的懷孕婦女
179,00:07:10.280,00:07:12.800,會出現產後憂鬱
