segment,from,to,text
1,00:00:00.000,00:00:02.000,一定要來
2,00:00:02.000,00:00:04.000,我們有總統候選人
3,00:00:04.000,00:00:06.000,何董董
4,00:00:06.000,00:00:08.000,我們首先歡迎
5,00:00:08.000,00:00:10.000,來各位走
6,00:00:10.000,00:00:12.000,來往後走
7,00:00:12.000,00:00:14.000,何董董
8,00:00:14.000,00:00:16.000,歡迎
9,00:00:16.000,00:00:18.000,何董董
10,00:00:18.000,00:00:20.000,我們也歡迎
11,00:00:20.000,00:00:22.000,何董董
12,00:00:22.000,00:00:24.000,董帥
13,00:00:24.000,00:00:26.000,董帥
14,00:00:26.000,00:00:28.000,何董董
15,00:00:28.000,00:00:30.000,董董
16,00:00:30.000,00:00:32.000,董董
17,00:00:32.000,00:00:34.000,何董董
18,00:00:34.000,00:00:36.000,何董好
19,00:00:36.000,00:00:38.000,何董好
20,00:00:38.000,00:00:40.000,何董好
21,00:00:40.000,00:00:42.000,何董好
22,00:00:42.000,00:00:44.000,何董好
23,00:00:44.000,00:00:46.000,何董好
24,00:00:46.000,00:00:48.000,何董好
25,00:00:48.000,00:00:50.000,何董好
26,00:00:50.000,00:00:52.000,我們現在要請回賓
27,00:00:52.000,00:00:54.000,讓我們三員工
28,00:00:54.000,00:00:56.000,掌聲拍賣
29,00:00:56.000,00:00:58.000,讓我們三員工
30,00:00:58.000,00:01:00.000,掌聲拍賣
31,00:01:00.000,00:01:02.000,讓我們三員工
32,00:01:02.000,00:01:04.000,掌聲拍賣
33,00:01:04.000,00:01:06.000,讓我們三員工
34,00:01:06.000,00:01:08.000,掌聲拍賣
35,00:01:08.000,00:01:10.000,讓我們三員工
36,00:01:10.000,00:01:12.000,掌聲拍賣
37,00:01:12.000,00:01:14.000,讓我們三員工
38,00:01:14.000,00:01:16.000,掌聲拍賣
39,00:01:16.000,00:01:18.000,讓我們三員工
40,00:01:18.000,00:01:20.000,掌聲拍賣
41,00:01:20.000,00:01:22.000,讓我們三員工
42,00:01:22.000,00:01:24.000,掌聲拍賣
43,00:01:24.000,00:01:26.000,讓我們三員工
44,00:01:26.000,00:01:28.000,掌聲拍賣
45,00:01:28.000,00:01:30.000,讓我們三員工
46,00:01:30.000,00:01:32.000,掌聲拍賣
47,00:01:32.000,00:01:34.000,讓我們三員工
48,00:01:34.000,00:01:36.000,掌聲拍賣
49,00:01:36.000,00:01:38.000,讓我們三員工
50,00:01:38.000,00:01:40.000,掌聲拍賣
51,00:01:40.000,00:01:42.000,讓我們三員工
52,00:01:42.000,00:01:44.000,掌聲拍賣
53,00:01:44.000,00:01:46.000,讓我們三員工
54,00:01:46.000,00:01:48.000,掌聲拍賣
55,00:01:48.000,00:01:50.000,讓我們三員工
56,00:01:50.000,00:01:52.000,掌聲拍賣
57,00:01:52.000,00:01:54.000,讓我們三員工
58,00:01:54.000,00:01:56.000,掌聲拍賣
59,00:01:56.000,00:01:58.000,讓我們三員工
60,00:01:58.000,00:02:00.000,掌聲拍賣
61,00:02:00.000,00:02:02.000,讓我們三員工
62,00:02:02.000,00:02:04.000,掌聲拍賣
63,00:02:04.000,00:02:06.000,讓我們三員工
64,00:02:06.000,00:02:08.000,掌聲拍賣
65,00:02:08.000,00:02:10.000,讓我們三員工
66,00:02:10.000,00:02:12.000,掌聲拍賣
67,00:02:12.000,00:02:14.000,讓我們三員工
68,00:02:14.000,00:02:16.000,掌聲拍賣
69,00:02:16.000,00:02:18.000,讓我們三員工
70,00:02:18.000,00:02:20.000,掌聲拍賣
71,00:02:20.000,00:02:22.000,讓我們三員工
72,00:02:22.000,00:02:24.000,掌聲拍賣
73,00:02:24.000,00:02:26.000,讓我們三員工
74,00:02:26.000,00:02:28.000,掌聲拍賣
75,00:02:28.000,00:02:30.000,讓我們三員工
76,00:02:30.000,00:02:32.000,掌聲拍賣
77,00:02:32.000,00:02:34.000,讓我們三員工
78,00:02:34.000,00:02:36.000,掌聲拍賣
79,00:02:36.000,00:02:38.000,讓我們三員工
80,00:02:38.000,00:02:40.000,掌聲拍賣
81,00:02:40.000,00:02:42.000,讓我們三員工
82,00:02:42.000,00:02:44.000,掌聲拍賣
83,00:02:44.000,00:02:46.000,讓我們三員工
84,00:02:46.000,00:02:48.000,掌聲拍賣
85,00:02:48.000,00:02:50.000,讓我們三員工
86,00:02:50.000,00:02:52.000,掌聲拍賣
87,00:02:52.000,00:02:54.000,讓我們三員工
88,00:02:54.000,00:02:56.000,掌聲拍賣
89,00:02:56.000,00:02:58.000,讓我們三員工
90,00:02:58.000,00:03:00.000,掌聲拍賣
91,00:03:00.000,00:03:02.000,讓我們三員工
92,00:03:02.000,00:03:04.000,掌聲拍賣
93,00:03:04.000,00:03:06.000,讓我們三員工
94,00:03:06.000,00:03:08.000,掌聲拍賣
95,00:03:08.000,00:03:10.000,讓我們三員工
96,00:03:10.000,00:03:12.000,掌聲拍賣
97,00:03:12.000,00:03:14.000,讓我們三員工
98,00:03:14.000,00:03:16.000,掌聲拍賣
99,00:03:16.000,00:03:18.000,讓我們三員工
100,00:03:18.000,00:03:20.000,掌聲拍賣
101,00:03:20.000,00:03:22.000,讓我們三員工
102,00:03:22.000,00:03:24.000,掌聲拍賣
103,00:03:24.000,00:03:26.000,讓我們三員工
104,00:03:26.000,00:03:28.000,掌聲拍賣
105,00:03:28.000,00:03:30.000,讓我們三員工
106,00:03:30.000,00:03:32.000,掌聲拍賣
107,00:03:32.000,00:03:34.000,讓我們三員工
108,00:03:34.000,00:03:36.000,掌聲拍賣
109,00:03:36.000,00:03:38.000,讓我們三員工
110,00:03:38.000,00:03:40.000,掌聲拍賣
111,00:03:40.000,00:03:42.000,讓我們三員工
112,00:03:42.000,00:03:44.000,掌聲拍賣
113,00:03:44.000,00:03:46.000,讓我們三員工
114,00:03:46.000,00:03:48.000,掌聲拍賣
115,00:03:48.000,00:03:50.000,讓我們三員工
116,00:03:50.000,00:03:52.000,掌聲拍賣
117,00:03:52.000,00:03:54.000,讓我們三員工
118,00:03:54.000,00:03:56.000,掌聲拍賣
119,00:03:56.000,00:03:58.000,讓我們三員工
120,00:03:58.000,00:04:00.000,掌聲拍賣
121,00:04:00.000,00:04:02.000,讓我們三員工
122,00:04:02.000,00:04:04.000,掌聲拍賣
123,00:04:04.000,00:04:06.000,讓我們三員工
124,00:04:06.000,00:04:08.000,掌聲拍賣
125,00:04:08.000,00:04:10.000,讓我們三員工
126,00:04:10.000,00:04:12.000,掌聲拍賣
127,00:04:12.000,00:04:14.000,讓我們三員工
128,00:04:14.000,00:04:16.000,掌聲拍賣
129,00:04:16.000,00:04:18.000,讓我們三員工
130,00:04:18.000,00:04:20.000,掌聲拍賣
131,00:04:20.000,00:04:22.000,讓我們三員工
132,00:04:22.000,00:04:24.000,掌聲拍賣
133,00:04:24.000,00:04:26.000,讓我們三員工
134,00:04:26.000,00:04:28.000,掌聲拍賣
135,00:04:28.000,00:04:30.000,讓我們三員工
136,00:04:30.000,00:04:32.000,掌聲拍賣
137,00:04:32.000,00:04:34.000,讓我們三員工
138,00:04:34.000,00:04:36.000,掌聲拍賣
139,00:04:36.000,00:04:38.000,讓我們三員工
140,00:04:38.000,00:04:40.000,掌聲拍賣
141,00:04:40.000,00:04:42.000,讓我們三員工
142,00:04:42.000,00:04:44.000,掌聲拍賣
143,00:04:44.000,00:04:46.000,讓我們三員工
144,00:04:46.000,00:04:48.000,掌聲拍賣
145,00:04:48.000,00:04:50.000,讓我們三員工
146,00:04:50.000,00:04:52.000,掌聲拍賣
147,00:04:52.000,00:04:54.000,讓我們三員工
148,00:04:54.000,00:04:56.000,掌聲拍賣
149,00:04:56.000,00:04:58.000,讓我們三員工
150,00:04:58.000,00:05:00.000,掌聲拍賣
151,00:05:00.000,00:05:02.000,讓我們三員工
152,00:05:02.000,00:05:04.000,掌聲拍賣
153,00:05:04.000,00:05:06.000,讓我們三員工
154,00:05:06.000,00:05:08.000,掌聲拍賣
155,00:05:08.000,00:05:10.000,讓我們三員工
156,00:05:10.000,00:05:12.000,掌聲拍賣
157,00:05:12.000,00:05:14.000,讓我們三員工
158,00:05:14.000,00:05:16.000,掌聲拍賣
159,00:05:16.000,00:05:18.000,讓我們三員工
160,00:05:18.000,00:05:20.000,掌聲拍賣
161,00:05:20.000,00:05:22.000,讓我們三員工
162,00:05:22.000,00:05:24.000,掌聲拍賣
163,00:05:24.000,00:05:26.000,讓我們三員工
164,00:05:26.000,00:05:28.000,掌聲拍賣
165,00:05:28.000,00:05:30.000,讓我們三員工
166,00:05:30.000,00:05:32.000,掌聲拍賣
167,00:05:32.000,00:05:34.000,讓我們三員工
168,00:05:34.000,00:05:36.000,掌聲拍賣
169,00:05:36.000,00:05:38.000,讓我們三員工
170,00:05:38.000,00:05:40.000,掌聲拍賣
171,00:05:40.000,00:05:42.000,讓我們三員工
172,00:05:42.000,00:05:44.000,掌聲拍賣
173,00:05:44.000,00:05:46.000,讓我們三員工
174,00:05:46.000,00:05:48.000,掌聲拍賣
175,00:05:48.000,00:05:50.000,讓我們三員工
176,00:05:50.000,00:05:52.000,掌聲拍賣
177,00:05:52.000,00:05:54.000,讓我們三員工
178,00:05:54.000,00:05:56.000,掌聲拍賣
179,00:05:56.000,00:05:58.000,讓我們三員工
180,00:05:58.000,00:06:00.000,掌聲拍賣
181,00:06:00.000,00:06:02.000,讓我們三員工
182,00:06:02.000,00:06:04.000,掌聲拍賣
183,00:06:04.000,00:06:06.000,讓我們三員工
184,00:06:06.000,00:06:08.000,掌聲拍賣
185,00:06:08.000,00:06:10.000,讓我們三員工
186,00:06:10.000,00:06:12.000,掌聲拍賣
187,00:06:12.000,00:06:14.000,讓我們三員工
188,00:06:14.000,00:06:16.000,掌聲拍賣
189,00:06:16.000,00:06:18.000,讓我們三員工
190,00:06:18.000,00:06:20.000,掌聲拍賣
191,00:06:20.000,00:06:22.000,讓我們三員工
192,00:06:22.000,00:06:24.000,掌聲拍賣
193,00:06:24.000,00:06:26.000,讓我們三員工
194,00:06:26.000,00:06:28.000,掌聲拍賣
195,00:06:28.000,00:06:30.000,讓我們三員工
196,00:06:30.000,00:06:32.000,掌聲拍賣
197,00:06:32.000,00:06:34.000,再鞠躬
198,00:06:34.000,00:06:36.000,三鞠躬
199,00:06:36.000,00:06:38.000,三鞠躬
200,00:06:38.000,00:06:40.000,三現已請
201,00:06:40.000,00:06:46.000,總統參選人
202,00:06:46.000,00:06:48.000,憲法
203,00:06:48.000,00:07:00.000,一拜
204,00:07:00.000,00:07:02.000,再拜
205,00:07:02.000,00:07:04.000,再拜
206,00:07:04.000,00:07:06.000,三拜
207,00:07:06.000,00:07:10.000,建國
208,00:07:10.000,00:07:28.000,一拜
209,00:07:28.000,00:07:30.000,再拜
210,00:07:30.000,00:07:32.000,三拜
211,00:07:32.000,00:07:38.000,建財國
212,00:07:38.000,00:07:48.000,一拜
213,00:07:48.000,00:07:50.000,再拜
214,00:07:50.000,00:07:52.000,三拜
215,00:07:56.000,00:08:00.000,前景向三元三免三官大義
216,00:08:00.000,00:08:02.000,繼夜夜奪臣
217,00:08:02.000,00:08:04.000,請急功臨意
218,00:08:04.000,00:08:06.000,急功
219,00:08:06.000,00:08:08.000,再急功
220,00:08:08.000,00:08:10.000,三急功
221,00:08:10.000,00:08:12.000,禮成
222,00:08:12.000,00:08:14.000,感謝總統參選人
223,00:08:14.000,00:08:16.000,前議委
224,00:08:16.000,00:08:18.000,廖正錦先生
225,00:08:18.000,00:08:20.000,以及各級長官
226,00:08:20.000,00:08:22.000,議員
227,00:08:22.000,00:08:24.000,請
228,00:08:24.000,00:08:26.000,請
229,00:08:26.000,00:08:28.000,一下子廣場
230,00:08:28.000,00:08:30.000,好好好
231,00:08:30.000,00:08:32.000,先合檔
232,00:08:32.000,00:08:34.000,位子不動
233,00:08:34.000,00:08:36.000,位子不動
234,00:08:36.000,00:08:38.000,這邊會先合照一張
