"","segment","from","to","text"
"1",1,00:00:00,00:00:02,"要把那個群聚部的工作"
"2",2,00:00:02,00:00:04,"還有這個審查跟調查權"
"3",3,00:00:04,00:00:07,"就移到行政院跟立法院去"
"4",4,00:00:07,00:00:10,"一定要建立一個公開遴權制度"
"5",5,00:00:10,00:00:13,"我們在台北市失職等以上"
"6",6,00:00:13,00:00:14,"有一個公開遴權的機制"
"7",7,00:00:14,00:00:15,"以前聽說什麼"
"8",8,00:00:15,00:00:17,"就市長是一通電話去說"
"9",9,00:00:17,00:00:19,"這次科長要當賊"
"10",10,00:00:19,00:00:21,"就讓公務員他覺得他不需要努力"
"11",11,00:00:21,00:00:23,"他只要巴結一個人就可以"
"12",12,00:00:23,00:00:24,"可是我們建立一個"
"13",13,00:00:24,00:00:26,"很公開的遴權制度"
"14",14,00:00:26,00:00:28,"第一 他可以比較公平"
"15",15,00:00:28,00:00:31,"他就不需要只要去巴結一個人"
"16",16,00:00:31,00:00:33,"他就平常該做他該做的事"
"17",17,00:00:33,00:00:35,"所以不管是高階文官"
"18",18,00:00:35,00:00:37,"或是國營事業的董建思"
"19",19,00:00:37,00:00:39,"應該有一個公開遴權的制度"
"20",20,00:00:39,00:00:41,"在蔡英文任內"
"21",21,00:00:41,00:00:43,"把特別預算常態化"
"22",22,00:00:43,00:00:45,"前瞻計畫8400億"
"23",23,00:00:45,00:00:47,"防疫特別預算8400億"
"24",24,00:00:47,00:00:48,"還有這個軍火"
"25",25,00:00:48,00:00:51,"八年大概也跟買軍火就買了一兆"
"26",26,00:00:51,00:00:52,"問題是"
"27",27,00:00:52,00:00:54,"他很難監督"
"28",28,00:00:54,00:00:56,"所以最近在講說什麼"
"29",29,00:00:56,00:00:58,"蔡英文總統在說什麼"
"30",30,00:00:58,00:01:00,"民進黨是最有財政距離的政府"
"31",31,00:01:00,00:01:02,"什麼收支平衡"
"32",32,00:01:02,00:01:04,"你把特別預算不算"
"33",33,00:01:04,00:01:05,"當然收支平衡"
"34",34,00:01:05,00:01:06,"你把特別預算算進去"
"35",35,00:01:06,00:01:08,"就買到十九萬多了"
"36",36,00:01:08,00:01:10,"所以這種特別預算常態化"
"37",37,00:01:10,00:01:12,"一定要給它廢掉"
"38",38,00:01:12,00:01:14,"所以那個特別預算法"
"39",39,00:01:14,00:01:16,"83條的第四款那個要廢掉"
"40",40,00:01:16,00:01:18,"不應當讓政府有一個"
"41",41,00:01:18,00:01:20,"空白支票的權利"
"42",42,00:01:20,00:01:22,"所以我們要對權利設定一個"
"43",43,00:01:22,00:01:25,"道德限制實現一個公共善"
"44",44,00:01:25,00:01:27,"台灣既然要跟世界接軌"
"45",45,00:01:27,00:01:29,"就應當要"
"46",46,00:01:29,00:01:31,"符合國際潮流"
"47",47,00:01:31,00:01:33,"所以投票權下降到18歲"
"48",48,00:01:33,00:01:35,"被選舉權下降到20歲"
"49",49,00:01:35,00:01:37,"這個應當還是要繼續努力"
"50",50,00:01:37,00:01:39,"立委的選舉"
"51",51,00:01:39,00:01:41,"還是從病例制"
"52",52,00:01:41,00:01:43,"走到聯立制"
"53",53,00:01:43,00:01:45,"讓小黨有比較"
"54",54,00:01:45,00:01:47,"有機會發展"
"55",55,00:01:47,00:01:49,"目前這種單一選票兩票制"
"56",56,00:01:49,00:01:51,"一般小黨要出頭很困難"
"57",57,00:01:51,00:01:53,"所以這也造成台灣"
"58",58,00:01:53,00:01:55,"兩極對立"
"59",59,00:01:55,00:01:57,"因為這個多元發展的機會被抹殺掉"
"60",60,00:01:57,00:01:59,"所以我們主張不分區立委"
"61",61,00:01:59,00:02:01,"的分配名額從5%"
"62",62,00:02:01,00:02:03,"降到3%"
"63",63,00:02:03,00:02:05,"所以我們的一個概念"
"64",64,00:02:05,00:02:07,"聯合政府就會比較compromise"
"65",65,00:02:07,00:02:09,"政治上的鬥爭會比較少"
"66",66,00:02:09,00:02:11,"政策比較容易連續"
"67",67,00:02:11,00:02:13,"不會說一朝君子一朝臣"
"68",68,00:02:13,00:02:15,"然後人亡政息"
"69",69,00:02:15,00:02:17,"再換了政府所有的計畫全部都被毀掉"
"70",70,00:02:17,00:02:19,"所以我們要聯合政府團結台灣"
"71",71,00:02:19,00:02:21,"我如果當中華民國的總統"
"72",72,00:02:21,00:02:25,"的目標是將來要產生中華民國第一位總理"
"73",73,00:02:25,00:02:27,"透過我們的努力"
"74",74,00:02:27,00:02:31,"唯有當權者能夠"
"75",75,00:02:31,00:02:33,"抑制自己的權力才能夠"
"76",76,00:02:33,00:02:35,"反正於民"
"77",77,00:02:35,00:02:37,"文官體制要鞏固不再為政黨服務"
"78",78,00:02:37,00:02:39,"要把握這一次的機會"
"79",79,00:02:39,00:02:41,"讓台灣有機會"
"80",80,00:02:41,00:02:43,"改變國家的體制"
"81",81,00:02:43,00:02:45,"然後開始走向內閣制"
"82",82,00:02:45,00:02:47,"把過去奇奇怪怪的東西"
"83",83,00:02:47,00:02:49,"在台灣的政壇上消失"
"84",84,00:02:49,00:02:51,"所以其實你們這次選的"
"85",85,00:02:51,00:02:53,"不是柯文哲"
"86",86,00:02:53,00:02:55,"你們選的是台灣的長治久安"
"87",87,00:02:55,00:02:57,"我也講說什麼2024"
"88",88,00:02:57,00:02:59,"以後就不干我的事了"
"89",89,00:02:59,00:03:01,"或是我只是選四年了"
"90",90,00:03:01,00:03:03,"我不是選十年了"
"91",91,00:03:03,00:03:05,"台灣任何一個人上來執政"
"92",92,00:03:05,00:03:07,"一定要有這個概念"
"93",93,00:03:07,00:03:09,"最近南門市場開幕"
"94",94,00:03:09,00:03:11,"其實我對我講這很大的感觸"
"95",95,00:03:11,00:03:13,"為什麼 我去台灣各縣市去看過"
"96",96,00:03:13,00:03:15,"為什麼每個縣市都沒有辦法"
"97",97,00:03:15,00:03:17,"市場改建"
"98",98,00:03:17,00:03:19,"很煩"
"99",99,00:03:19,00:03:21,"要跟台灣溝通什麼"
"100",100,00:03:21,00:03:23,"然後錢財又不是"
"101",101,00:03:23,00:03:25,"大家就不想做"
"102",102,00:03:25,00:03:27,"我們要打破這種心態"
"103",103,00:03:27,00:03:29,"我們要留下一個什麼樣的台灣給下一代"
"104",104,00:03:29,00:03:31,"這種心態才有辦法把這些事情"
"105",105,00:03:31,00:03:33,"真正做好"
"106",106,00:03:33,00:03:35,"有權力者要能夠約束自己的權力"
"107",107,00:03:35,00:03:37,"建立一個公一社會"
"108",108,00:03:37,00:03:39,"所以要讓主權者真正代表公共意志"
"109",109,00:03:39,00:03:41,"才能夠有之於全社會"
"110",110,00:03:41,00:03:43,"因為以前在台大當老師"
"111",111,00:03:43,00:03:45,"你知道"
"112",112,00:03:45,00:03:47,"最後上完課一定要講說今天考試重點"
"113",113,00:03:47,00:03:51,"這個就是"
"114",114,00:03:51,00:03:53,"今天的summary"
"115",115,00:03:53,00:03:55,"這個take home message"
"116",116,00:03:55,00:03:57,"第一條 總統互立法院國情報告"
"117",117,00:03:57,00:03:59,"直接面對政黨的質詢"
"118",118,00:03:59,00:04:01,"第二點"
"119",119,00:04:01,00:04:03,"前任院長的立法院同意權要恢復"
"120",120,00:04:03,00:04:05,"然後"
"121",121,00:04:05,00:04:07,"各部會首長要經過立法院"
"122",122,00:04:07,00:04:09,"各委員會的聽證"
"123",123,00:04:09,00:04:11,"凍結考監兩院"
"124",124,00:04:11,00:04:13,"來實現三權分立"
"125",125,00:04:13,00:04:15,"因為回貿的現象要禁絕"
"126",126,00:04:15,00:04:17,"所以高階文官跟國營"
"127",127,00:04:17,00:04:19,"市委董建志建立一個零權制度"
"128",128,00:04:19,00:04:21,"特別預算"
"129",129,00:04:21,00:04:23,"不能再常態化"
"130",130,00:04:23,00:04:25,"我覺得這個是債留子孫"
"131",131,00:04:25,00:04:27,"逃空國家 我們要重振政府的財政機率"
"132",132,00:04:27,00:04:29,"我們要以世界"
"133",133,00:04:29,00:04:31,"接軌"
"134",134,00:04:31,00:04:33,"18歲有投票權 被選舉權"
"135",135,00:04:33,00:04:35,"降到20歲 保障多元公益的社會"
"136",136,00:04:35,00:04:37,"讓小黨有機會出現"
"137",137,00:04:37,00:04:39,"不分區域降到3%"
"138",138,00:04:39,00:04:41,"召開國事會議"
"139",139,00:04:41,00:04:43,"準備推動內閣制度的休閒"
"140",140,00:04:43,00:04:45,"讓台灣的民族成熟到"
"141",141,00:04:45,00:04:47,"人民可以決定台灣的政治文化"
"142",142,00:04:47,00:04:49,"不再受藍綠控制"
"143",143,00:04:49,00:04:51,"所以"
"144",144,00:04:51,00:04:53,"2024的選舉"
"145",145,00:04:53,00:04:55,"選的不只是"
"146",146,00:04:55,00:04:57,"柯文哲"
"147",147,00:04:57,00:04:59,"他選的是台灣的長治久安"
"148",148,00:04:59,00:05:01,"謝謝大家"
"149",149,00:05:01,00:05:03,"(台灣的長治久安)"
"150",150,00:05:29,00:05:31,"我用我認識的柯先生"
"151",151,00:05:31,00:05:33,"來跟大家分享"
"152",152,00:05:33,00:05:35,"我第一次到柯先生的辦公室的時候"
"153",153,00:05:35,00:05:37,"他就有一個燈在上面"
"154",154,00:05:37,00:05:39,"我們大家都知道"
"155",155,00:05:39,00:05:41,"我們一般人希望燈開很多"
"156",156,00:05:41,00:05:43,"很旺 走熱氣好"
"157",157,00:05:43,00:05:45,"就一個小小的燈在上面"
"158",158,00:05:45,00:05:47,"我說你怎麼這麼安"
"159",159,00:05:47,00:05:49,"他說 喔 三點"
"160",160,00:05:49,00:05:51,"然後呢 坐了很久"
"161",161,00:05:51,00:05:53,"在過去 我們家裡客人來的時候"
"162",162,00:05:53,00:05:55,"茶水"
"163",163,00:05:55,00:05:57,"就什麼都沒有"
"164",164,00:05:57,00:05:59,"茶呢"
"165",165,00:05:59,00:06:01,"他說 喔 這樣子啊"
"166",166,00:06:01,00:06:03,"他就跑過去拿一個冷泡"
"167",167,00:06:03,00:06:05,"一個茶包放在一個冷水裡面"
"168",168,00:06:05,00:06:07,"我說你知道"
"169",169,00:06:07,00:06:09,"泡茶要熱水啊 沒有冷水啊"
"170",170,00:06:09,00:06:11,"他說 喔 久了就可以了"
"171",171,00:06:11,00:06:13,"就可以喝了"
"172",172,00:06:13,00:06:15,"這是我第一次跟他接觸"
