segment,from,to,text
1,00:00:00.000,00:00:03.000,送給我們的柯P柯主席
2,00:00:03.000,00:00:07.000,希望美麗的稻穗是代表一個豐收
3,00:00:07.000,00:00:11.000,也是代表一個我們對未來充分的希望的
4,00:00:11.000,00:00:15.000,一個我們在大地之上執掌的
5,00:00:15.000,00:00:20.000,我們亞洲人賴以為生的稻米
6,00:00:20.000,00:00:24.000,我們一祝我們柯主席高標當權
7,00:00:24.000,00:00:29.000,謝謝謝謝我們台灣中央南賢天
8,00:00:29.000,00:00:31.000,陳老師我們帶來的表演
9,00:00:31.000,00:00:32.000,非常的感謝
10,00:00:32.000,00:00:34.000,也謝謝他在悠揚的歌聲中
11,00:00:34.000,00:00:37.000,期待台灣可以越來越美好
12,00:00:37.000,00:00:40.000,好 第二首歌
13,00:00:40.000,00:00:42.000,我帶來一首
14,00:00:42.000,00:00:46.000,因為我在苗栗客家聚落待了41年
15,00:00:46.000,00:00:48.000,這麼多年來
16,00:00:48.000,00:00:50.000,也因為我託給大家
17,00:00:50.000,00:00:53.000,我們三萬個朋友和妹妹
18,00:00:53.000,00:01:01.000,不同族群的結合
19,00:01:01.000,00:01:04.000,其實我們兩個應該可以說是
20,00:01:04.000,00:01:07.000,在原住民跟客家裡面結合
21,00:01:07.000,00:01:12.000,不同的文化可是我們並發出融合
22,00:01:12.000,00:01:15.000,從谷底再起來的時候
23,00:01:15.000,00:01:17.000,我們心存感恩
24,00:01:17.000,00:01:20.000,也感念老婆體系有這個原住民
25,00:01:20.000,00:01:23.000,原住民是隨言隨性隨和
26,00:01:23.000,00:01:25.000,也很隨便
27,00:01:25.000,00:01:27.000,老婆說不能隨便
28,00:01:27.000,00:01:29.000,所以我們在客家聚落經營的產業
29,00:01:29.000,00:01:30.000,也過去
30,00:01:30.000,00:01:33.000,我們也謝謝曾經在客委會
31,00:01:33.000,00:01:38.000,擔任過副主委的莊景華女士的提攜
32,00:01:38.000,00:01:43.000,讓童話劇開遍了整個苗栗的客家聚落
33,00:01:43.000,00:01:46.000,也因此我們用童話的文創產業
34,00:01:46.000,00:01:48.000,一路走來到現在
35,00:01:48.000,00:01:50.000,我們越戰越勇
36,00:01:50.000,00:01:53.000,曾幾何時童話我們不願意讓它在這個
37,00:01:53.000,00:01:55.000,美麗的福摩沙消失
38,00:01:55.000,00:01:59.000,我們希望未來我們的柯總統上任的時候
39,00:01:59.000,00:02:03.000,能夠大力的再把過去童話的這個風華
40,00:02:03.000,00:02:08.000,再次展現給各位我們所有的好朋友各位鄉親
41,00:02:08.000,00:02:10.000,我們今天帶來這首
42,00:02:10.000,00:02:13.000,《客家本色》代表客家人的
43,00:02:13.000,00:02:15.000,「安價三萬個精神」
44,00:02:15.000,00:02:18.000,"好嗎?好,謝謝"
45,00:02:18.000,00:02:20.000,(掌聲)
46,00:02:20.000,00:02:42.000,(音樂)
47,00:02:42.000,00:02:47.000,同山戈台本 木板釘前
48,00:02:47.000,00:02:51.000,山滿大兩岗山更天
49,00:02:51.000,00:03:01.000,我共挫子 幾十年 四萬年
50,00:03:01.000,00:03:06.000,四十大來就 安陽墾陽壯高
51,00:03:06.000,00:03:11.000,六三八年莫過一篇
52,00:03:11.000,00:03:21.000,客家精神莫不得 圓圓
53,00:03:21.000,00:03:26.000,四太再進步 沙壁改變
54,00:03:26.000,00:03:31.000,是為何匆忙應援
55,00:03:31.000,00:03:40.000,風天時天 客家人 修和新天
56,00:03:40.000,00:03:44.000,真正的當作 一個六三個音
57,00:03:44.000,00:03:49.000,就從人格羅祖先
58,00:03:49.000,00:04:00.000,永遠不忘 這種言 天天安寧
59,00:04:00.000,00:04:03.000,"好,我們接著"
60,00:04:03.000,00:04:04.000,我們再做個聲音規篇
61,00:04:04.000,00:04:05.000,你的雙手握著手
62,00:04:05.000,00:04:08.000,親愛的客家國
63,00:04:08.000,00:04:10.000,"來,大家接著打個拍子好不好,來"
64,00:04:10.000,00:04:19.000,(音樂)
65,00:04:19.000,00:04:23.000,同山戈台本 木板釘前
66,00:04:23.000,00:04:28.000,山滿大兩岗山更天
67,00:04:28.000,00:04:37.000,我共挫子 幾十年 四萬年
68,00:04:37.000,00:04:42.000,四十大來就 安陽墾陽壯高
69,00:04:42.000,00:04:47.000,六三八年莫過一篇
70,00:04:47.000,00:04:56.000,客家精神莫不得 圓圓
71,00:04:56.000,00:05:11.000,三阿精神 莫不得 圓圓
72,00:05:11.000,00:05:13.000,(掌聲)
73,00:05:13.000,00:05:14.000,謝謝
74,00:05:14.000,00:05:16.000,感謝安祖先
75,00:05:16.000,00:05:17.000,謝謝台灣之光
76,00:05:17.000,00:05:20.000,南賢天南老師三命大片
77,00:05:20.000,00:05:22.000,台灣景整
78,00:05:22.000,00:05:25.000,"謝謝,謝謝南賢天老師"
79,00:05:25.000,00:05:26.000,那我們現在呢
80,00:05:26.000,00:05:28.000,就要來請我們柯主席
81,00:05:28.000,00:05:31.000,要來講解一下我們的多元族群的政策
82,00:05:31.000,00:05:33.000,"不過呢,之前我們先"
83,00:05:33.000,00:05:37.000,來賓我們可以先移駕到我們座位前面
84,00:05:37.000,00:05:40.000,"好,那我們現在就先來歡迎柯文哲"
85,00:05:40.000,00:05:42.000,柯主席來負責任的
86,00:05:42.000,00:05:44.000,來向各位全國同胞
87,00:05:44.000,00:05:47.000,來發表我們多元族群的政策
88,00:05:47.000,00:05:51.000,"好,這個今天講三樣"
89,00:05:51.000,00:05:53.000,原住民、新住民還有
90,00:05:53.000,00:05:56.000,我們那個客家政策
91,00:05:56.000,00:05:59.000,這個我們對台灣人要有一個新的定義
92,00:05:59.000,00:06:02.000,"如果不用這個新的定義,永無零日"
93,00:06:02.000,00:06:04.000,因為歷史上台灣就是一個移民社會
94,00:06:04.000,00:06:06.000,從四百年前開始
95,00:06:06.000,00:06:08.000,一開始是原住民
96,00:06:08.000,00:06:10.000,後來有西班牙荷蘭人
97,00:06:10.000,00:06:12.000,後來明朝鄭成功進來
98,00:06:12.000,00:06:14.000,那當然就把這個閩南人帶進來
99,00:06:14.000,00:06:16.000,再來是客家人
100,00:06:16.000,00:06:18.000,在閩南人當中
101,00:06:18.000,00:06:19.000,張權謝鬥
102,00:06:19.000,00:06:22.000,這個大概有讀過歷史就知道
103,00:06:22.000,00:06:24.000,在過程當中也很多衝突
104,00:06:24.000,00:06:26.000,但是慢慢的在衝突當中
105,00:06:26.000,00:06:28.000,他們又在進行融合
106,00:06:28.000,00:06:30.000,後來又日本人來了
107,00:06:30.000,00:06:33.000,到1949年所謂的外省人來
108,00:06:33.000,00:06:34.000,現在新住民
109,00:06:34.000,00:06:36.000,如果在台灣四百年的歷史
110,00:06:36.000,00:06:39.000,人種這麼複雜的話
111,00:06:39.000,00:06:43.000,如果每一次都要分不同
112,00:06:43.000,00:06:45.000,我覺得是很大的問題
113,00:06:45.000,00:06:47.000,所以不管是228
114,00:06:47.000,00:06:49.000,或是以前那個我們在
115,00:06:49.000,00:06:51.000,我們年輕的時候
116,00:06:51.000,00:06:53.000,你看我們花了多少的時間
117,00:06:53.000,00:06:56.000,去磨合那所謂本省人
118,00:06:56.000,00:06:58.000,跟外省人的衝突
119,00:06:58.000,00:06:59.000,所以我每一次認為說
120,00:06:59.000,00:07:00.000,台灣既然是個移民社會
121,00:07:00.000,00:07:02.000,它也是個事實
122,00:07:02.000,00:07:04.000,那應該怎麼處理
123,00:07:04.000,00:07:05.000,所以這是為什麼我們選舉的時候
124,00:07:05.000,00:07:07.000,那個口號
125,00:07:07.000,00:07:08.000,共榮社會 國家治理
126,00:07:08.000,00:07:10.000,一開始講共榮社會
127,00:07:10.000,00:07:11.000,所以我們對台灣人
128,00:07:11.000,00:07:13.000,要有一個新的定義
129,00:07:13.000,00:07:15.000,住在台灣認同台灣喜歡台灣
130,00:07:15.000,00:07:16.000,他就是台灣人
131,00:07:16.000,00:07:18.000,所以對我來講
132,00:07:18.000,00:07:22.000,台灣人就是台灣人的一個代表
133,00:07:22.000,00:07:24.000,那這是目前的這種分布
134,00:07:24.000,00:07:26.000,特別是這樣
135,00:07:26.000,00:07:29.000,防疫的新住民其實加起來
136,00:07:29.000,00:07:31.000,除了我們第一代的新住民
137,00:07:31.000,00:07:32.000,問題是第二代已經出來
138,00:07:32.000,00:07:34.000,而且已經五十萬
139,00:07:34.000,00:07:36.000,還有一個我們不要忽視
140,00:07:36.000,00:07:39.000,台灣有七十幾萬的移工
141,00:07:39.000,00:07:40.000,這是我們目前整個台灣
142,00:07:40.000,00:07:42.000,生產力很大
143,00:07:42.000,00:07:44.000,所以這個防疫的新住民
144,00:07:44.000,00:07:46.000,包括嫁來的 生下來的
145,00:07:46.000,00:07:48.000,這個移工
146,00:07:48.000,00:07:50.000,在整個我們的人口結構
147,00:07:50.000,00:07:53.000,它是用自我認定當標準
148,00:07:53.000,00:07:55.000,自己認為是每人67
149,00:07:55.000,00:07:57.000,自己認為是客家19
150,00:07:57.000,00:08:00.000,自己認為是跟新住民有關8%
151,00:08:00.000,00:08:02.000,到現在為止
152,00:08:02.000,00:08:05.000,自認為是外省人的還有5%
153,00:08:05.000,00:08:08.000,原住民是2%
154,00:08:08.000,00:08:10.000,所以我們在
155,00:08:10.000,00:08:13.000,我們要開始講這個
156,00:08:13.000,00:08:16.000,進一步完成反族群歧視法的立法
157,00:08:16.000,00:08:20.000,因為台灣實在是種族太多了
158,00:08:20.000,00:08:23.000,所以最近包括新住民的爭議
159,00:08:23.000,00:08:24.000,其實在某一個程度上
160,00:08:24.000,00:08:26.000,太一種族群的歧視了
161,00:08:26.000,00:08:29.000,所以應該我們國內要來
162,00:08:29.000,00:08:30.000,真的要坐下來討論
163,00:08:30.000,00:08:32.000,如果為了台灣的長治久安
164,00:08:32.000,00:08:35.000,如何防止這種歧視的問題
165,00:08:35.000,00:08:37.000,所以我們主張要完成一個
166,00:08:37.000,00:08:39.000,反族群歧視法的立法
167,00:08:39.000,00:08:41.000,來尊重國內各族群
168,00:08:41.000,00:08:44.000,當然這裡面有三個是比較重要
169,00:08:44.000,00:08:46.000,客家原住民跟新住民
170,00:08:46.000,00:08:48.000,我們就一一來講
171,00:08:48.000,00:08:50.000,從客家開始
172,00:08:50.000,00:08:53.000,客家我們已經有訂客家基本法
173,00:08:53.000,00:08:56.000,所以這個就是把它落實
174,00:08:56.000,00:08:58.000,另外一個是這樣
175,00:08:58.000,00:09:02.000,客家語如何在台灣社會維持
176,00:09:02.000,00:09:03.000,它一定要時代化
177,00:09:03.000,00:09:04.000,什麼意思呢
178,00:09:04.000,00:09:07.000,如果有一些年輕人在玩電競
179,00:09:07.000,00:09:09.000,在網路用語
180,00:09:09.000,00:09:11.000,他有開始用客家語
181,00:09:11.000,00:09:12.000,這個語文才能夠生活化
182,00:09:12.000,00:09:13.000,才能夠時代化
183,00:09:13.000,00:09:15.000,才能夠存留下去
184,00:09:15.000,00:09:16.000,如果一個語文
185,00:09:16.000,00:09:18.000,只有在那個
186,00:09:18.000,00:09:20.000,那個藝名劑才拿出來用
