segment,from,to,text
1,00:00:00.000,00:00:02.000,我就是想要你做我的人
2,00:00:02.000,00:00:03.640,我就是想要你做我的人
3,00:00:03.640,00:00:05.640,我就是想要你做我的人
4,00:00:05.640,00:00:07.440,我就是想要你做我的人
5,00:00:07.440,00:00:09.240,我就是想要你做我的人
6,00:00:09.240,00:00:11.040,我就是想要你做我的人
7,00:00:11.040,00:00:13.040,我就是想要你做我的人
8,00:00:13.040,00:00:15.040,我就是想要你做我的人
9,00:00:15.040,00:00:17.040,我就是想要你做我的人
10,00:00:17.040,00:00:19.040,我就是想要你做我的人
11,00:00:19.040,00:00:21.040,我就是想要你做我的人
12,00:00:21.040,00:00:23.040,我就是想要你做我的人
13,00:00:23.040,00:00:25.040,我就是想要你做我的人
14,00:00:25.040,00:00:27.040,我就是想要你做我的人
15,00:00:27.040,00:00:29.040,我就是想要你做我的人
16,00:00:29.040,00:00:31.040,我就是想要你做我的人
17,00:00:31.040,00:00:33.040,我就是想要你做我的人
18,00:00:33.040,00:00:35.040,我就是想要你做我的人
19,00:00:35.040,00:00:37.040,我就是想要你做我的人
20,00:00:37.040,00:00:39.040,我就是想要你做我的人
21,00:00:39.040,00:00:41.040,我就是想要你做我的人
22,00:00:41.040,00:00:43.040,我就是想要你做我的人
23,00:00:43.040,00:00:45.040,我就是想要你做我的人
24,00:00:45.040,00:00:47.040,我就是想要你做我的人
25,00:00:47.040,00:00:49.040,我就是想要你做我的人
26,00:00:49.040,00:00:51.040,我就是想要你做我的人
27,00:00:51.040,00:00:53.040,我就是想要你做我的人
28,00:00:53.040,00:00:55.040,我就是想要你做我的人
29,00:00:55.040,00:00:57.040,我就是想要你做我的人
30,00:00:57.040,00:00:59.040,我就是想要你做我的人
31,00:00:59.040,00:01:01.040,我就是想要你做我的人
32,00:01:01.040,00:01:03.040,我就是想要你做我的人
33,00:01:03.040,00:01:05.040,我就是想要你做我的人
34,00:01:05.040,00:01:07.040,我就是想要你做我的人
35,00:01:07.040,00:01:09.040,我就是想要你做我的人
36,00:01:09.040,00:01:11.040,我就是想要你做我的人
37,00:01:11.040,00:01:13.040,我就是想要你做我的人
38,00:01:13.040,00:01:15.040,我就是想要你做我的人
39,00:01:15.040,00:01:17.040,我就是想要你做我的人
40,00:01:17.040,00:01:19.040,我就是想要你做我的人
41,00:01:19.040,00:01:21.040,我就是想要你做我的人
42,00:01:21.040,00:01:23.040,我就是想要你做我的人
43,00:01:23.040,00:01:25.040,我就是想要你做我的人
44,00:01:25.040,00:01:27.040,我就是想要你做我的人
45,00:01:27.040,00:01:29.040,我就是想要你做我的人
46,00:01:29.040,00:01:31.040,我就是想要你做我的人
